##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	WTCHG_189136_285_1.trimmed.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5098386
Sequences flagged as poor quality	0
Sequence length	15-35
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.48516177472636	35.0	35.0	35.0	34.0	35.0
2	34.52200206104442	35.0	35.0	35.0	34.0	35.0
3	34.45635520731463	35.0	35.0	35.0	33.0	35.0
4	34.50404834000407	35.0	35.0	35.0	34.0	35.0
5	34.52940126542008	35.0	35.0	35.0	34.0	35.0
6	39.37110116809516	40.0	40.0	40.0	39.0	40.0
7	39.39499166991279	40.0	40.0	40.0	39.0	40.0
8	39.43037129789702	40.0	40.0	40.0	39.0	40.0
9	39.394841034005665	40.0	40.0	40.0	39.0	40.0
10	39.39040060913395	40.0	40.0	40.0	39.0	40.0
11	39.380119512331945	40.0	40.0	40.0	39.0	40.0
12	39.36227798365993	40.0	40.0	40.0	39.0	40.0
13	39.35593342677467	40.0	40.0	40.0	39.0	40.0
14	39.34078216125652	40.0	40.0	40.0	39.0	40.0
15	39.35808449968284	40.0	40.0	40.0	39.0	40.0
16	39.27969914063334	40.0	40.0	40.0	39.0	40.0
17	39.33951952954729	40.0	40.0	40.0	39.0	40.0
18	39.34349360933531	40.0	40.0	40.0	39.0	40.0
19	39.356384536757496	40.0	40.0	40.0	39.0	40.0
20	39.344712010057016	40.0	40.0	40.0	39.0	40.0
21	39.374769475878175	40.0	40.0	40.0	39.0	40.0
22	39.36653318317509	40.0	40.0	40.0	39.0	40.0
23	39.34899618829007	40.0	40.0	40.0	39.0	40.0
24	39.2925952784221	40.0	40.0	40.0	39.0	40.0
25	39.36472257212391	40.0	40.0	40.0	39.0	40.0
26	39.37261086975593	40.0	40.0	40.0	39.0	40.0
27	39.33507840734068	40.0	40.0	40.0	39.0	40.0
28	39.3518612106827	40.0	40.0	40.0	39.0	40.0
29	39.264869983888104	40.0	40.0	40.0	39.0	40.0
30	39.25624098113409	40.0	40.0	40.0	39.0	40.0
31	39.2784499118883	40.0	40.0	40.0	39.0	40.0
32	39.282526840685904	40.0	40.0	40.0	39.0	40.0
33	39.28749092322325	40.0	40.0	40.0	39.0	40.0
34	39.27073570990767	40.0	40.0	40.0	39.0	40.0
35	39.29783505154639	40.0	40.0	40.0	39.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.2338646481741833
1101	2	0.21152827470119462
1101	3	0.2502467402650339
1101	4	0.2218784084680152
1101	5	0.1782905623427169
1101	6	0.21868060094072206
1101	7	0.2074183257204254
1101	8	0.21735397384462374
1101	9	0.2186750362517884
1101	10	0.25091040385812136
1101	11	0.22648003472021827
1101	12	0.23106095367010226
1101	13	0.2562705329522643
1101	14	0.24201678178970099
1101	15	0.2590531484954468
1101	16	0.3308132933470631
1101	17	0.28270158307650206
1101	18	0.2521950656595706
1101	19	0.21499617150541894
1101	20	0.22147550600590904
1101	21	0.22829835908353147
1101	22	0.22032760703822873
1101	23	0.2570925137361044
1101	24	0.31527081421365466
1101	25	0.2605251427093762
1101	26	0.169219386176799
1101	27	0.2052266339433615
1101	28	0.2226100507306441
1101	29	0.1880844689040444
1101	30	0.11305687351734406
1101	31	0.32743595845425233
1101	32	0.33414186651229016
1101	33	0.397737623474832
1101	34	0.5891732054969836
1101	35	0.7060692752260138
1102	1	0.2114086839483491
1102	2	0.19829957069208604
1102	3	0.29123918229225865
1102	4	0.2500813878630055
1102	5	0.199360863160301
1102	6	0.24586210360483562
1102	7	0.24315374747973095
1102	8	0.2053092665850187
1102	9	0.25363693364026574
1102	10	0.20164064589758368
1102	11	0.22372114216259575
1102	12	0.17804555251668575
1102	13	0.21814045259125692
1102	14	0.17962256902472973
1102	15	0.18960008261025507
1102	16	0.24837707627611394
1102	17	0.21114320099859185
1102	18	0.14671015394114306
1102	19	0.14552721453646456
1102	20	0.15305259065733878
1102	21	0.19217120541906496
1102	22	0.25972919327252697
1102	23	0.25897412361268835
1102	24	0.3182103535205343
1102	25	0.12802945635490204
1102	26	0.12278171822493533
1102	27	0.18457363108349512
1102	28	0.0989856430331244
1102	29	0.3025932522482222
1102	30	0.23778901637449223
1102	31	0.17676076300293886
1102	32	0.1482411102707033
1102	33	0.3623765612881371
1102	34	0.4465586044783052
1102	35	0.6346407037974444
1103	1	0.1603975591914164
1103	2	0.1419361657665803
1103	3	0.20039812435558702
1103	4	0.14269205638476734
1103	5	0.1185715884789218
1103	6	0.14617328341237368
1103	7	0.15095579863746877
1103	8	0.14763467297536437
1103	9	0.14074553765808417
1103	10	0.17183291474076867
1103	11	0.2108807631856422
1103	12	0.18823983100549668
1103	13	0.22591796898989003
1103	14	0.211634224969373
1103	15	0.19928828278187183
1103	16	0.309761861054632
1103	17	0.21388983970140174
1103	18	0.24380710660376792
1103	19	0.2813944095260581
1103	20	0.26651092842826785
1103	21	0.19705815915401104
