id              	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval            	padj
hsa-miR-1248    	270.257529620	369.598715929	71.5751570010	0.193656400620	-2.36842890959	0.888503610841061	1
hsa-miR-92b-3p  	261.768942939	353.085323452	79.1361819140	0.224127644673	-2.15760748810	0.127593955900055	1
hsa-miR-5100    	170.844533389	229.904471214	52.7246577396	0.229332894054	-2.12448479410	0.116312560238292	1
hsa-miR-424-3p  	87.0839639591	124.031264112	13.1893636523	0.106339024654	-3.23325695575	0.137889957120974	1
hsa-miR-206     	61.1665457624	83.3981515334	16.7033342202	0.200284225886	-2.31987929396	0.59715840296456	1
hsa-miR-7974    	48.7489877088	68.6698490262	8.90726507420	0.129711441054	-2.94662235835	0.429039224670898	1
hsa-miR-19a-5p  	42.8264310663	58.9768899650	10.5255132689	0.178468435266	-2.48625915963	0.270661058053894	1
hsa-miR-19b-1-5p	39.5754192053	53.1224471896	12.4813632366	0.234954598233	-2.08954609227	0.336357618873991	1
hsa-miR-4326    	36.9957445397	51.9632478068	7.06073800558	0.135879459109	-2.87960071442	0.0327048403546101	1
hsa-miR-6516-3p 	28.9641575086	40.3272619899	6.23794854583	0.154683165630	-2.69261189992	0.509316440698033	1
hsa-miR-146b-3p 	51.0797562272	24.6405904244	103.958087832	4.218977144693	2.076893272120	0.0951617540126831	1
