id      	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval            	padj
hsa-miR-451a	16.2930350416	6.68450040144	35.5101043220	5.31230491277	2.40933795608	0.082130986891877	1
hsa-miR-106a-5p	27.2092534443	36.9267778834	7.77420456624	0.21053027130	-2.2479004073	0.31108423182009	1
hsa-miR-1246	40.7375594586	55.0481238185	12.1164307388	0.22010615255	-2.1837286219	0.921446515034946	1
hsa-miR-1248	922.042431064	1347.27606809	71.5751570010	0.05312582825	-4.2344427613	0.791065436667568	1
hsa-miR-1260a	23.5280070690	31.9960362266	6.59194875369	0.20602391830	-2.2791162583	0.523046241854063	1
hsa-miR-19a-5p	34.7892971841	46.9211891418	10.5255132689	0.22432324204	-2.1563489896	0.307327972734106	1
hsa-miR-363-5p	25.1748595636	34.4417173162	6.64114405828	0.19282267481	-2.3746533808	0.503472580858769	1
hsa-miR-424-3p	68.1786532148	95.6732979960	13.1893636523	0.13785835681	-2.8587413704	0.19324589497327	1
hsa-miR-4326	29.9673821250	41.4207041848	7.06073800558	0.17046397796	-2.5524611902	0.0596033098682298	1
hsa-miR-5100	200.829245517	274.881539405	52.7246577396	0.19180865275	-2.3822602911	0.0682687990948054	1
hsa-miR-6516-3p	36.7948859553	52.0733546600	6.23794854583	0.11979156300	-3.0614017930	0.499884919542164	1
hsa-miR-664b-5p	40.0084583263	53.4180056633	13.1893636523	0.24690857490	-2.0179511541	0.865088942115461	1
hsa-miR-7974	36.5275357632	50.3376711077	8.90726507420	0.17695028153	-2.4985840377	0.532005983939322	1
