id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	1.41869304764484	0	2.12803957146726	Inf	Inf	1	1
hsa-let-7a-5p	291.925003446892	224.119059322436	325.82797550912	1.45381645137265	0.539845136238304	0.931475781969635	1
hsa-let-7b-3p	8.58261181308783	1.36529348500599	12.1912709771287	8.9294141596781	3.15856552622532	0.491798618672613	1
hsa-let-7b-5p	3670.95807315993	5321.862818941	2845.5057002694	0.534682271429842	-0.903246253094301	0.228843628589067	1
hsa-let-7c-3p	0.0537021235353072	0	0.0805531853029608	Inf	Inf	1	1
hsa-let-7c-5p	101.638066004763	67.9016182807483	118.50628986677	1.74526458819862	0.803445770615736	1	1
hsa-let-7d-3p	434.554747114815	335.092620175772	484.285810584337	1.4452297109089	0.531298818989233	0.681980595152318	1
hsa-let-7d-5p	1638.1670976992	1465.7972223357	1724.35203538095	1.17639193819269	0.234368802590519	1	1
hsa-let-7e-3p	0.298382833674901	0	0.447574250512351	Inf	Inf	1	1
hsa-let-7e-5p	169.473696769134	225.847408776993	141.286840765205	0.625585396486504	-0.676721259771518	0.232095053966667	1
hsa-let-7f-1-3p	2.69274021511285	1.02397011375449	3.52712526579202	3.44455879953318	1.78431920542932	1	1
hsa-let-7f-2-3p	2.02753078449594	0.682646742502995	2.69997280549241	3.95515372356819	1.98373376850833	1	1
hsa-let-7f-5p	59.9332541524126	70.6104726524606	54.5946449023886	0.773180561629991	-0.371122727375114	0.607165056160276	1
hsa-let-7g-3p	1.41685868684291	1.36529348500599	1.44264128776137	1.05665287617998	0.079501511003232	0.543617328208945	1
hsa-let-7g-5p	42249.239031304	30994.4833181419	47876.616887885	1.54468188407779	0.627309756240803	0.865336524364793	1
hsa-let-7i-3p	26.966148483043	54.5465416053406	13.1759519218941	0.241554304528156	-2.04958053288081	0.84323425993545	1
hsa-let-7i-5p	16710.899372209	17414.1545860049	16359.2717653111	0.939423828157489	-0.0901519073714338	0.700746867597799	1
hsa-miR-1	0	0	0	NA	NA	NA	NA
hsa-miR-100-3p	0	0	0	NA	NA	NA	NA
hsa-miR-100-5p	3299.33846575228	9576.65148411247	160.681956572186	0.0167785114493052	-5.89724146088402	0.533953605691716	1
hsa-miR-101-3p	2021.36496414903	1591.52182214296	2236.28653515206	1.40512464487665	0.490698113769545	0.516016508391238	1
hsa-miR-101-5p	1.50175712428403	1.02397011375449	1.74065062954881	1.6999037434467	0.765453056490197	0.63160267092241	1
hsa-miR-103a-2-5p	2.51718340077725	0.682646742502995	3.43445172991438	5.03108198732716	2.3308687002071	1	1
hsa-miR-103a-3p	0	0	0	NA	NA	NA	NA
hsa-miR-103b	0	0	0	NA	NA	NA	NA
hsa-miR-105-3p	0	0	0	NA	NA	NA	NA
hsa-miR-105-5p	0	0	0	NA	NA	NA	NA
hsa-miR-106a-3p	0.338517087805934	0.682646742502995	0.166452260457404	0.243833669881862	-2.03603073998067	0.45479359297497	1
hsa-miR-106a-5p	60.0653329418907	129.870343660423	25.1628275826245	0.19375345343213	-2.36770606989401	0.967534667953043	1
hsa-miR-106b-3p	174.340076031558	137.851176789006	192.584525652834	1.39704665668254	0.482380202737732	0.729707383520235	1
hsa-miR-106b-5p	35.0512294120403	16.0421984488204	44.5557448936502	2.77740890912159	1.47373959621794	1	1
hsa-miR-107	3.22748497197732	1.36529348500599	4.15858071546298	3.04592438265736	1.60688012629028	1	1
hsa-miR-10a-3p	1.74305443684555	1.02397011375449	2.10259659839107	2.05337692003694	1.03799847438104	1	1
hsa-miR-10a-5p	757.431072176372	604.092503717008	834.100356406053	1.38074939065424	0.465451490725798	0.855294654628434	1
hsa-miR-10b-3p	0.0537021235353072	0	0.0805531853029608	Inf	Inf	1	1
hsa-miR-10b-5p	24.6783005694438	33.1083670113952	20.4632673484681	0.618069364201052	-0.694159338030695	0.355527582772578	1
hsa-miR-1178-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1178-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1179	0	0	0	NA	NA	NA	NA
hsa-miR-1180-3p	2.59301606749342	0.682646742502995	3.54820072998863	5.19771136236406	2.37787652075742	1	1
hsa-miR-1180-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1181	0.236986402218924	0	0.355479603328386	Inf	Inf	1	1
hsa-miR-1182	0	0	0	NA	NA	NA	NA
hsa-miR-1183	0	0	0	NA	NA	NA	NA
