id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	0.707168689480633	1.06075303422095	0	0	-Inf	1	1
hsa-let-7a-5p	336.059689377701	392.030004405334	224.119059322436	0.571688536091515	-0.806698734281157	0.878758329303908	1
hsa-let-7b-3p	11.2615586945772	16.2096912993628	1.36529348500599	0.0842269886447287	-3.56957360321584	0.433395154523184	1
hsa-let-7b-5p	2994.85970934872	1831.35815455258	5321.862818941	2.90596506516836	1.539017359333	0.0574658947576527	1
hsa-let-7c-3p	0.11938894990902	0.179083424863531	0	0	-Inf	1	1
hsa-let-7c-5p	72.4150212926978	74.6717227986726	67.9016182807483	0.909335096818676	-0.13711605851916	0.639632290984014	1
hsa-let-7d-3p	455.635014200868	515.906211213416	335.092620175772	0.649522360639215	-0.622548901734588	0.986437677141621	1
hsa-let-7d-5p	1885.80844104351	2095.81405039742	1465.7972223357	0.699392783466521	-0.515825184912321	0.990111560397519	1
hsa-let-7e-3p	0	0	0	NA	NA	NA	NA
hsa-let-7e-5p	127.877842661271	78.8930596034096	225.847408776993	2.86270313145812	1.51737806748021	0.0807806654262742	1
hsa-let-7f-1-3p	5.75451592719821	8.11978883392006	1.02397011375449	0.126107973335083	-2.98726860013061	0.863806639182137	1
hsa-let-7f-2-3p	1.06452235461971	1.25546016067806	0.682646742502995	0.543742257925813	-0.879005140705858	1	1
hsa-let-7f-5p	77.7022242112211	81.2480999906013	70.6104726524606	0.869072294129078	-0.202451901687348	1	1
hsa-let-7g-3p	0.651024408192534	0.293889869785806	1.36529348500599	4.6455955967487	2.21586357171915	0.488961163785186	1
hsa-let-7g-5p	29440.2393987754	28663.1174390921	30994.4833181419	1.08133678704013	0.11281592669875	0.459158620589141	1
hsa-let-7i-3p	24.3772937962937	9.29266989177029	54.5465416053406	5.86984604431582	2.55332266449123	0.665174952999175	1
hsa-let-7i-5p	19202.526247268	20096.7120778995	17414.1545860049	0.866517593450295	-0.206699053262081	0.772033476677377	1
hsa-miR-1	0	0	0	NA	NA	NA	NA
hsa-miR-100-3p	0	0	0	NA	NA	NA	NA
hsa-miR-100-5p	3240.39287088389	72.2635642695999	9576.65148411247	132.523929326044	7.05010907475631	0.377753394387281	1
hsa-miR-101-3p	1001.42729748465	706.380035155498	1591.52182214296	2.25306738998167	1.17189046569867	0.529502198798376	1
hsa-miR-101-5p	0.786443651989131	0.667680421106451	1.02397011375449	1.53362309479977	0.616943967798299	0.530379526816393	1
hsa-miR-103a-2-5p	4.16043430839221	5.89932809133682	0.682646742502995	0.115716015779062	-3.11133953911992	0.983612036330086	1
hsa-miR-103a-3p	0	0	0	NA	NA	NA	NA
hsa-miR-103b	0	0	0	NA	NA	NA	NA
hsa-miR-105-3p	0	0	0	NA	NA	NA	NA
hsa-miR-105-5p	0	0	0	NA	NA	NA	NA
hsa-miR-106a-3p	0.227548914167665	0	0.682646742502995	Inf	Inf	0.535282080924141	1
hsa-miR-106a-5p	60.2006719031126	25.3658360244573	129.870343660423	5.11989210744738	2.35611340833256	0.853600615578183	1
hsa-miR-106b-3p	220.920111441896	262.454578768342	137.851176789006	0.525238223832556	-0.928956183745971	0.878672690377553	1
hsa-miR-106b-5p	32.5161618710724	40.7531435821984	16.0421984488204	0.393643214699831	-1.34503948444695	0.789022877527272	1
hsa-miR-107	4.9468024196196	6.73755688692641	1.36529348500599	0.202639251574293	-2.30301444114935	0.923233234028547	1
hsa-miR-10a-3p	2.78383500304654	3.66376744769257	1.02397011375449	0.279485564619934	-1.83915432483876	1	1
hsa-miR-10a-5p	658.820604042117	686.184654204671	604.092503717008	0.880364345100645	-0.183827377858842	0.95800955195093	1
hsa-miR-10b-3p	0	0	0	NA	NA	NA	NA
hsa-miR-10b-5p	11.1555112870408	0.179083424863531	33.1083670113952	184.87678039788	7.53042023058832	0.0450130142251666	1
hsa-miR-1178-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1178-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1179	0	0	0	NA	NA	NA	NA
hsa-miR-1180-3p	3.95584396504147	5.5924425763107	0.682646742502995	0.122065936876071	-3.03426742982898	0.749743763632187	1
hsa-miR-1180-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1181	0.0765376299481836	0.114806444922275	0	0	-Inf	1	1
hsa-miR-1182	0	0	0	NA	NA	NA	NA
hsa-miR-1183	0	0	0	NA	NA	NA	NA
hsa-miR-1184	0	0	0	NA	NA	NA	NA
hsa-miR-1185-1-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1185-2-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1185-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1193	0	0	0	NA	NA	NA	NA
hsa-miR-1197	0	0	0	NA	NA	NA	NA
hsa-miR-1199-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1199-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1200	0	0	0	NA	NA	NA	NA
hsa-miR-1202	0	0	0	NA	NA	NA	NA
hsa-miR-1203	0	0	0	NA	NA	NA	NA
hsa-miR-1204	0	0	0	NA	NA	NA	NA
hsa-miR-1205	0	0	0	NA	NA	NA	NA
hsa-miR-1206	0	0	0	NA	NA	NA	NA
hsa-miR-1207-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1207-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1208	0	0	0	NA	NA	NA	NA
hsa-miR-122-3p	0	0	0	NA	NA	NA	NA
hsa-miR-122-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1224-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1224-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1225-3p	1.3862334183277	1.5673650706143	1.02397011375449	0.653306707513373	-0.614167642892675	0.547455845736467	1
hsa-miR-1225-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1226-3p	1.70154894809392	2.04033836526363	1.02397011375449	0.501862892541445	-0.994634816902219	0.671250893958925	1
hsa-miR-1226-5p	2.74656667940327	4.1198500191049	0	0	-Inf	0.977343126159827	1
hsa-miR-1227-3p	0.352552356901873	0.358166849727061	0.341323371251497	0.952973094834434	-0.0694926115988128	0.698207714039366	1
hsa-miR-1227-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1228-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1228-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1229-3p	1.69604213950188	2.37340152362707	0.341323371251497	0.143811895228702	-2.79774508338202	1	1
hsa-miR-1229-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1231	0	0	0	NA	NA	NA	NA
hsa-miR-1233-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1233-5p	0	0	0	NA	NA	NA	NA
