id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	1.92316835592063	1.17737165304472	2.66896505879653	2.26688408192477	1.18071062014442	1	1
hsa-let-7a-5p	407.210869681157	418.441538957367	395.980200404946	0.946321441680029	-0.0795977807222995	0.889008437018136	1
hsa-let-7b-3p	16.3799356450186	17.7990473032494	14.9608239867878	0.840540717258312	-0.250610387069197	0.917469986887305	1
hsa-let-7b-5p	2756.56556053479	2027.82226061956	3485.30886045002	1.71874474806542	0.781355305116486	0.317938447442598	1
hsa-let-7c-3p	0.153949680293225	0.196372847656848	0.111526512929603	0.567932452273087	-0.816208743618009	0.937596079022349	1
hsa-let-7c-5p	113.985759731187	82.9397351262398	145.031784336133	1.74864055347398	0.806233762664309	0.468968901795296	1
hsa-let-7d-3p	566.529761377175	564.664453213762	568.395069540589	1.00660678444622	0.00950022662511649	0.65293972310794	1
hsa-let-7d-5p	2148.63761902296	2239.72473739869	2057.55050064723	0.918662220535615	-0.122393595001239	0.968676634849667	1
hsa-let-7e-3p	0.282140085850829	0	0.564280171701658	Inf	Inf	0.865594142559672	1
hsa-let-7e-5p	124.261293305307	85.9403403462265	162.582246264388	1.89180361177761	0.919762330209977	0.4070435287018	1
hsa-let-7f-1-3p	6.46654758579841	8.80490403759611	4.12819113400071	0.468851348790824	-1.09279751192529	0.630027913340329	1
hsa-let-7f-2-3p	2.3870628803814	1.41804365635401	3.35608210440879	2.36669871859781	1.24287606228306	0.552143708043865	1
hsa-let-7f-5p	76.3167850883092	87.4513918911764	65.182178285442	0.745353239963911	-0.424003781036878	0.731056160517755	1
hsa-let-7g-3p	1.08539794729773	0.326999601795957	1.8437962927995	5.63852763940062	2.49531848804116	0.561237932000552	1
hsa-let-7g-5p	45673.9039023421	31557.2414540254	59790.5663506588	1.89467024352447	0.921946777457431	0.169297758608068	1
hsa-let-7i-3p	13.0988763366851	10.0628708447238	16.1348818286465	1.6034074249404	0.681141060087708	0.805769885937454	1
hsa-let-7i-5p	20694.0597696073	21631.7678223982	19756.3517168164	0.913302688851903	-0.130835014159178	0.920811535907377	1
hsa-miR-1	0	0	0	NA	NA	NA	NA
hsa-miR-100-3p	0	0	0	NA	NA	NA	NA
hsa-miR-100-5p	138.070489339707	82.4517059765305	193.689272702884	2.3491238951201	1.23212280452156	0.0741174411827863	1
hsa-miR-101-3p	1834.50496827257	798.679143110973	2870.33079343417	3.59384718906494	1.84552906653702	0.0788218738901021	1
hsa-miR-101-5p	1.4727446709745	0.764044452762097	2.18144488918691	2.85512823409786	1.51355554367653	0.400643882903599	1
hsa-miR-103a-2-5p	4.9124313527981	5.88842762250804	3.93643508308817	0.668503603244007	-0.58099275840082	1	1
hsa-miR-103a-3p	0	0	0	NA	NA	NA	NA
hsa-miR-103b	0	0	0	NA	NA	NA	NA
hsa-miR-105-3p	0	0	0	NA	NA	NA	NA
hsa-miR-105-5p	0	0	0	NA	NA	NA	NA
hsa-miR-106a-3p	0.0857040453559551	0	0.17140809071191	Inf	Inf	1	1
hsa-miR-106a-5p	27.7846129464657	28.0730873035489	27.4961385893824	0.979448333988774	-0.0299587027151691	0.66874452299423	1
hsa-miR-106b-3p	252.073612080487	282.303352924351	221.843871236623	0.785835056291628	-0.347701566681024	0.615985065000525	1
hsa-miR-106b-5p	49.4296911018301	45.04194091482	53.8174412888402	1.19482953433592	0.256804804389515	0.675337694036909	1
hsa-miR-107	5.99219002186482	7.14391766511459	4.84046237861505	0.677564132947969	-0.561570587672454	0.654581502322692	1
hsa-miR-10a-3p	3.23108069145359	3.76041466639936	2.70174671650782	0.718470423128832	-0.47699932760439	0.818808894701218	1
hsa-miR-10a-5p	887.740239473577	736.784773639429	1038.69570530772	1.40976814732065	0.495457914244776	0.746042720738149	1
hsa-miR-10b-3p	0.0557632564648015	0	0.111526512929603	Inf	Inf	1	1
hsa-miR-10b-5p	11.0582894115695	0.196372847656848	21.9202059754821	111.625442300387	6.80252208161224	0.000795738570297865	0.758338857493865
hsa-miR-1178-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1178-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1179	0	0	0	NA	NA	NA	NA
hsa-miR-1180-3p	4.88581311565534	5.91791969193558	3.85370653937509	0.651192773809787	-0.618843404568564	0.407656808286927	1
hsa-miR-1180-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1181	0.293479481183106	0.130626754139109	0.456332208227102	3.49340539948758	1.80463407299127	1	1
hsa-miR-1182	0	0	0	NA	NA	NA	NA
hsa-miR-1183	0	0	0	NA	NA	NA	NA
hsa-miR-1184	0	0	0	NA	NA	NA	NA
hsa-miR-1185-1-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1185-2-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1185-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1193	0	0	0	NA	NA	NA	NA
hsa-miR-1197	0	0	0	NA	NA	NA	NA
hsa-miR-1199-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1199-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1200	0	0	0	NA	NA	NA	NA
hsa-miR-1202	0	0	0	NA	NA	NA	NA
hsa-miR-1203	0	0	0	NA	NA	NA	NA
hsa-miR-1204	0	0	0	NA	NA	NA	NA
hsa-miR-1205	0	0	0	NA	NA	NA	NA
hsa-miR-1206	0.161921945211834	0	0.323843890423668	Inf	Inf	1	1
hsa-miR-1207-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1207-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1208	0	0	0	NA	NA	NA	NA
hsa-miR-122-3p	0	0	0	NA	NA	NA	NA
hsa-miR-122-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1224-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1224-5p	0.344805695297499	0	0.689611390594998	Inf	Inf	0.980095052103732	1
hsa-miR-1225-3p	1.12481932512746	1.59837231995253	0.651266330302383	0.40745596140061	-1.29528395628543	0.902646510442244	1
hsa-miR-1225-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1226-3p	1.82809047158876	2.12174476940534	1.53443617377218	0.723195454937889	-0.467542484002588	1	1
hsa-miR-1226-5p	2.40108351776672	4.1165346726858	0.685632362847641	0.166555711870223	-2.58592326416814	0.468350964330682	1
hsa-miR-1227-3p	0.443998838224637	0.392745695313696	0.495251981135578	1.26099913263214	0.334567283320584	1	1
hsa-miR-1227-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1228-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1228-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1229-3p	1.72596944203055	2.32178950507642	1.13014937898468	0.486757897954873	-1.03872370711203	0.977394269830175	1
hsa-miR-1229-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1231	0	0	0	NA	NA	NA	NA
hsa-miR-1233-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1233-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1234-3p	0.130626754139109	0.261253508278219	0	0	-Inf	0.67634149957601	1
hsa-miR-1236-3p	0.0653133770695547	0.130626754139109	0	0	-Inf	0.846499586815614	1
hsa-miR-1236-5p	0.426446087513573	0.633417698622988	0.219474476404159	0.346492491260164	-1.52910400641838	1	1
hsa-miR-1237-3p	0.482477310664773	0.964954621329547	0	0	-Inf	0.849424837984001	1
hsa-miR-1237-5p	0.0857040453559551	0	0.17140809071191	Inf	Inf	1	1
hsa-miR-1238-3p	0.196372847656848	0.392745695313696	0	0	-Inf	0.701521383615647	1
hsa-miR-1238-5p	0	0	0	NA	NA	NA	NA
hsa-miR-124-3p	0	0	0	NA	NA	NA	NA
hsa-miR-124-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1243	0	0	0	NA	NA	NA	NA
hsa-miR-1244	0	0	0	NA	NA	NA	NA
hsa-miR-1245a	0	0	0	NA	NA	NA	NA
hsa-miR-1245b-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1245b-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1246	11.218688803755	16.000838868183	6.43653873932706	0.402262580877923	-1.31379055253067	0.812899214217145	1
hsa-miR-1247-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1247-5p	0.17140809071191	0	0.34281618142382	Inf	Inf	1	1
hsa-miR-1248	248.899347551798	369.59871592955	128.199979174046	0.346862620590064	-1.52756371691787	0.940830364683401	1
hsa-miR-1249	9.16271610823679	13.5981245184268	4.72730769804674	0.347644095451601	-1.52431700855032	0.901870060978999	1
hsa-miR-1250-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1250-5p	0.458059072383251	0.916118144766501	0	0	-Inf	0.31804920259833	1
hsa-miR-1251-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1251-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1252-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1252-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1253	0	0	0	NA	NA	NA	NA
hsa-miR-1254	0.053973981737278	0	0.107947963474556	Inf	Inf	1	1
hsa-miR-1255a	4.10964602141545	4.38421787617566	3.83507416665524	0.874745342264003	-0.193065017286215	0.705933613048881	1
hsa-miR-1255b-2-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1255b-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1256	0	0	0	NA	NA	NA	NA
hsa-miR-1257	0	0	0	NA	NA	NA	NA
hsa-miR-1258	0	0	0	NA	NA	NA	NA
hsa-miR-125a-3p	4.70415716905817	2.1414608414779	7.26685349663843	3.39340946884806	1.76273552466547	0.252392441619813	1
hsa-miR-125a-5p	2095.50789451137	942.221034114723	3248.79475490802	3.44801764902273	1.78576715902458	0.0638748790968202	1
hsa-miR-125b-1-3p	0	0	0	NA	NA	NA	NA
hsa-miR-125b-2-3p	0.556171642741571	0.326999601795957	0.785343683687185	2.40166556587193	1.26403526842496	0.990653676308387	1
hsa-miR-125b-5p	0.119287358806833	0.130626754139109	0.107947963474556	0.826384795258696	-0.275114384738934	0.99069755238173	1
hsa-miR-126-3p	12.1755284796508	10.1715108139721	14.1795461453295	1.39404523129953	0.479277371760773	0.964516417033166	1
hsa-miR-126-5p	0.28114532891399	0	0.562290657827979	Inf	Inf	0.636199497777967	1
hsa-miR-1260a	11.7890523853817	9.60054565936984	13.9775591113935	1.45591298737815	0.541924135461615	0.530461524506935	1
hsa-miR-1260b	4.12061794859751	4.33262359241521	3.9086123047798	0.902135212397013	-0.148584413473999	0.819557578935489	1
hsa-miR-1261	0	0	0	NA	NA	NA	NA
hsa-miR-1262	0.161921945211834	0	0.323843890423668	Inf	Inf	1	1
hsa-miR-1263	0	0	0	NA	NA	NA	NA
hsa-miR-1264	0	0	0	NA	NA	NA	NA
hsa-miR-1265	0	0	0	NA	NA	NA	NA
hsa-miR-1266-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1266-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1267	0	0	0	NA	NA	NA	NA
hsa-miR-1268a	0	0	0	NA	NA	NA	NA
hsa-miR-1268b	0	0	0	NA	NA	NA	NA
hsa-miR-1269a	0	0	0	NA	NA	NA	NA
hsa-miR-1269b	0	0	0	NA	NA	NA	NA
hsa-miR-127-3p	2.16980105454694	0.261253508278219	4.07834860081567	15.6106941020385	3.96446278052518	0.120829759808212	1
hsa-miR-127-5p	0.17140809071191	0	0.34281618142382	Inf	Inf	1	1
hsa-miR-1270	0	0	0	NA	NA	NA	NA
hsa-miR-1271-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1271-5p	0.722922175962919	0.391880262417328	1.05396408950851	2.68950541935206	1.42734089596015	0.994180257265701	1
hsa-miR-1272	0	0	0	NA	NA	NA	NA
hsa-miR-1273a	0	0	0	NA	NA	NA	NA
hsa-miR-1273c	0	0	0	NA	NA	NA	NA
hsa-miR-1273d	0	0	0	NA	NA	NA	NA
hsa-miR-1273f	0	0	0	NA	NA	NA	NA
hsa-miR-1273g-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1273g-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1273h-3p	2.02970002590538	0.849506618352395	3.20989343345837	3.77853846469602	1.91782830918837	0.709265669587579	1
hsa-miR-1273h-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1275	0.228166104113551	0	0.456332208227102	Inf	Inf	1	1
hsa-miR-1276	0.855770921277736	0.653999203591915	1.05754263896356	1.6170396434052	0.693355048411457	1	1
hsa-miR-1277-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1277-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1278	8.97760893409429	13.229629647242	4.72558822094655	0.357197317457159	-1.4852068489909	0.129499922714153	1
hsa-miR-1279	0	0	0	NA	NA	NA	NA
hsa-miR-128-1-5p	4.15883074680388	3.86592259465894	4.45173889894881	1.15153337656042	0.203556227457597	0.965125645236773	1
hsa-miR-128-2-5p	0	0	0	NA	NA	NA	NA
hsa-miR-128-3p	191.76057709057	232.218619169784	151.302535011356	0.65155212597631	-0.618047491874054	0.260304671213828	1
hsa-miR-1281	0	0	0	NA	NA	NA	NA
hsa-miR-1282	0.152160405565702	0.196372847656848	0.107947963474556	0.549709212666661	-0.863259436946779	0.961509127359225	1
hsa-miR-1283	0	0	0	NA	NA	NA	NA
hsa-miR-1284	1.27338662527119	0.784625957731024	1.76214729281135	2.24584373668584	1.1672575501111	1	1
hsa-miR-1285-3p	0.098186423828424	0.196372847656848	0	0	-Inf	0.846625302917264	1
hsa-miR-1285-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1286	0	0	0	NA	NA	NA	NA
hsa-miR-1287-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1287-5p	4.53308791452419	5.73095117669666	3.33522465235171	0.581967032961907	-0.78099066465666	0.84627197382599	1
hsa-miR-1288-3p	0.684797703111778	0.915252711870134	0.454342694353423	0.496412289699821	-1.01038926211549	0.562206796122201	1
hsa-miR-1288-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1289	0	0	0	NA	NA	NA	NA
hsa-miR-129-1-3p	0.0857040453559551	0	0.17140809071191	Inf	Inf	1	1
hsa-miR-129-2-3p	0	0	0	NA	NA	NA	NA
hsa-miR-129-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1290	0	0	0	NA	NA	NA	NA
hsa-miR-1291	79.8496940640779	103.091751644301	56.6076364838548	0.549099569858596	-0.864860313751086	0.873954197213001	1
hsa-miR-1292-3p	0.237864450921657	0.196372847656848	0.279356054186466	1.42257983993096	0.508509623667274	1	1
hsa-miR-1292-5p	25.3882673707804	30.6310181646042	20.1455165769565	0.657683543808406	-0.604534522475783	0.653255558584382	1
hsa-miR-1293	0.736272143429525	0.850372051248763	0.622172235610287	0.731647088702684	-0.450780165164778	0.689513023379967	1
hsa-miR-1294	2.9019645692368	4.00195210260502	1.80197703586859	0.450274513454475	-1.15112327466581	0.743805195749765	1
hsa-miR-1295a	0	0	0	NA	NA	NA	NA
hsa-miR-1295b-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1295b-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1296-3p	0.0857040453559551	0	0.17140809071191	Inf	Inf	1	1
hsa-miR-1296-5p	0.520936100871299	0.589118542970544	0.452753658772055	0.768527258519331	-0.379831663815506	0.759669315005596	1
hsa-miR-1297	0	0	0	NA	NA	NA	NA
hsa-miR-1298-3p	0	0	0	NA	NA	NA	NA
hsa-miR-1298-5p	0.053973981737278	0	0.107947963474556	Inf	Inf	1	1
hsa-miR-1299	0	0	0	NA	NA	NA	NA
hsa-miR-1301-3p	147.876153033712	115.124173747531	180.628132319893	1.56898526556216	0.649831803931109	0.5469760080496	1
hsa-miR-1301-5p	0	0	0	NA	NA	NA	NA
hsa-miR-1302	0	0	0	NA	NA	NA	NA
hsa-miR-1303	0	0	0	NA	NA	NA	NA
hsa-miR-1304-3p	1.0506586666855	1.92990924265909	0.17140809071191	0.0888166587956947	-3.49302589036284	0.844056496118138	1
hsa-miR-1304-5p	9.53603300711082	12.6391058243496	6.43296018987201	0.508972729501063	-0.974339735379219	0.270029258180176	1
hsa-miR-1305	0.0857040453559551	0	0.17140809071191	Inf	Inf	1	1
hsa-miR-1306-3p	3.41022691963923	3.90622017170043	2.91423366757804	0.746049515767421	-0.422656708667679	0.508017104391893	1
hsa-miR-1306-5p	10.1912301327865	14.3224071364471	6.06005312912586	0.423116943359645	-1.24087163653532	0.916206076355926	1
hsa-miR-1307-3p	1283.27518649536	1744.61307209813	821.93730089259	0.471128707011293	-1.085806853306	0.16328649042078	1
hsa-miR-1307-5p	6.44601823083225	6.43588938758142	6.45614707408307	1.00314761259582	0.00453391331871197	0.737970573305511	1
hsa-miR-130a-3p	0	0	0	NA	NA	NA	NA
