id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	1.07196421306344	1.17737165304472	0.966556773082152	0.82094449155677	-0.284643417906318	0.913779055178034	1
hsa-let-7a-5p	415.321702424508	418.441538957367	412.201865891649	0.985088303897204	-0.0216750404863601	0.976374668810482	1
hsa-let-7b-3p	20.2585627899701	17.7990473032494	22.7180782766909	1.276364846367	0.352040779578814	0.713356748749707	1
hsa-let-7b-5p	1915.86205618599	2027.82226061956	1803.90185175242	0.889575919341805	-0.168810359789489	0.910178989342048	1
hsa-let-7c-3p	0.098186423828424	0.196372847656848	0	0	-Inf	0.925440661874144	1
hsa-let-7c-5p	114.560849291445	82.9397351262398	146.18196345665	1.76250820230076	0.817629971492198	0.570382437497524	1
hsa-let-7d-3p	539.493923726233	564.664453213762	514.323394238704	0.910847834163203	-0.134718036726467	0.71112461290329	1
hsa-let-7d-5p	2187.09925775919	2239.72473739869	2134.47377811969	0.953007189891895	-0.0694409964056055	0.877807449589384	1
hsa-let-7e-3p	0.0827090043948207	0	0.165418008789641	Inf	Inf	1	1
hsa-let-7e-5p	80.233597876568	85.9403403462265	74.5268554069094	0.86719292833452	-0.205575102838471	0.49536844659081	1
hsa-let-7f-1-3p	6.61344958051943	8.80490403759611	4.42199512344274	0.502219570430437	-0.993609846419687	0.526919660908978	1
hsa-let-7f-2-3p	4.21934958245759	1.41804365635401	7.02065550856117	4.95094454751291	2.30770379065008	0.280978872612632	1
hsa-let-7f-5p	85.0845532847584	87.4513918911764	82.7177146783404	0.945870761911639	-0.080285019024989	0.901903050403783	1
hsa-let-7g-3p	0.523704473912317	0.326999601795957	0.720409346028676	2.20308936791367	1.13952801888392	0.869777261672846	1
hsa-let-7g-5p	41683.7110605328	31557.2414540254	51810.1806670402	1.64178420799298	0.715264515351286	0.388827228153073	1
hsa-let-7i-3p	10.2619334913697	10.0628708447238	10.4609961380157	1.03956378844916	0.0559782858112652	0.807451570520179	1
hsa-let-7i-5p	20999.9068098656	21631.7678223982	20368.045797333	0.941580270487337	-0.0868440038740944	0.844293135272226	1
hsa-miR-1	0	0	0	NA	NA	NA	NA
hsa-miR-100-3p	0	0	0	NA	NA	NA	NA
hsa-miR-100-5p	121.428903323003	82.4517059765305	160.406100669476	1.94545520641059	0.960107763023042	0.194728907842129	1
hsa-miR-101-3p	999.27203830776	798.679143110973	1199.86493350455	1.50231159014732	0.587184069136665	0.450446227265261	1
hsa-miR-101-5p	1.86370523981973	0.764044452762097	2.96336602687736	3.8785256749977	1.95550835200478	0.526974120050757	1
hsa-miR-103a-2-5p	4.8901495477011	5.88842762250804	3.89187147289417	0.660935604951279	-0.5974183782876	0.973902339355183	1
hsa-miR-103a-3p	0	0	0	NA	NA	NA	NA
