id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	1.22991041716212	1.06809673389121	1.41869304764484	1.32824397138298	0.409520164739744	1	1
hsa-let-7a-5p	326.637718408812	356.391474090457	291.925003446892	0.81911331967722	-0.287865040545892	0.935270532955583	1
hsa-let-7b-3p	13.0902737911877	16.9539840581304	8.58261181308783	0.506229791396554	-0.982135682983272	0.682209261406985	1
hsa-let-7b-5p	2593.76518325665	1670.45699191099	3670.95807315993	2.19757712466479	1.13591379809628	0.0634461875576075	1
hsa-let-7c-3p	0.0798881877435358	0.102333385636303	0.0537021235353072	0.524776183269911	-0.93022584950852	1	1
hsa-let-7c-5p	98.8098301376964	96.3856279659254	101.638066004763	1.0544939961453	0.0765508810433515	0.6800236305253	1
hsa-let-7d-3p	471.487341040512	503.143850119681	434.554747114815	0.863678939952161	-0.211432983679828	0.704119607980203	1
hsa-let-7d-5p	1766.01077107063	1875.59106253187	1638.1670976992	0.873413789617781	-0.195262786054355	1	1
hsa-let-7e-3p	0.181756247756027	0.0817906026827062	0.298382833674901	3.64813100635082	1.86715753838945	0.832580204004751	1
hsa-let-7e-5p	111.209575778605	61.2689006438658	169.473696769134	2.76606394089269	1.4678345065038	0.0395479653958954	1
hsa-let-7f-1-3p	4.43704477007407	5.93216296004083	2.69274021511285	0.453922158452355	-1.13948317896439	0.780935595371576	1
hsa-let-7f-2-3p	2.19977760563887	2.3474177380471	2.02753078449594	0.863728151846853	-0.211350782145771	0.86185553973813	1
hsa-let-7f-5p	67.8028711494388	74.5482571468898	59.9332541524126	0.80395245236009	-0.314817915339814	0.750768021698141	1
hsa-let-7g-3p	0.932592684583234	0.517507539789226	1.41685868684291	2.73785129279465	1.45304408831459	0.569578261656794	1
hsa-let-7g-5p	38296.4393210549	34908.3252836985	42249.239031304	1.21029120383021	0.275354210951188	0.290547994387164	1
hsa-let-7i-3p	18.0004310800633	10.3155304489379	26.966148483043	2.61413105380532	1.38633146934131	0.853159218877095	1
