id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
hsa-let-7a-2-3p	0	0	0	NA	NA	NA	NA
hsa-let-7a-3p	0.646733000070931	1.07788833345155	0	0	-Inf	1	1
hsa-let-7a-5p	274.971683931347	308.873433670621	224.119059322436	0.725601605353454	-0.462750447134345	0.982848825204516	1
hsa-let-7b-3p	11.3139420358946	17.9463744031537	1.36529348500599	0.0760762845093694	-3.71640940165723	0.377055055947847	1
hsa-let-7b-5p	3002.29839260971	1455.92210838886	5321.862818941	3.6553211111206	1.86999814901555	0.0372903003528584	1
hsa-let-7c-3p	0	0	0	NA	NA	NA	NA
hsa-let-7c-5p	102.363148225657	125.337501522262	67.9016182807483	0.541750214070508	-0.884300276492918	1	1
hsa-let-7d-3p	425.713469267129	486.127368661368	335.092620175772	0.689310336709708	-0.536774445148018	0.763449305718569	1
hsa-let-7d-5p	1535.49513616095	1581.96041204446	1465.7972223357	0.92657010325648	-0.1100279618141	0.834149324162922	1
hsa-let-7e-3p	0.114506843755789	0.190844739592981	0	0	-Inf	1	1
hsa-let-7e-5p	113.000976729482	37.7700220311408	225.847408776993	5.97954135665542	2.58003483093603	0.0132005856928462	1
hsa-let-7f-1-3p	2.21878512242291	3.01532846153518	1.02397011375449	0.339588249445024	-1.55814155578641	1	1
hsa-let-7f-2-3p	2.55507540172469	3.80336117453915	0.682646742502995	0.179485121495387	-2.47806383877485	1	1
hsa-let-7f-5p	67.6132690741489	65.6151333552744	70.6104726524606	1.07613090215239	0.105853580124567	0.766651801346292	1
hsa-let-7g-3p	1.03551605387867	0.815664433127119	1.36529348500599	1.67384212128962	0.743163457652893	0.533173281532012	1
hsa-let-7g-5p	38338.9547731609	43235.2690765069	30994.4833181419	0.716879621202211	-0.4801972137219	1	1
hsa-let-7i-3p	28.8262233572331	11.6793445251614	54.5465416053406	4.67034271382508	2.22352842004083	0.847325282349519	1
hsa-let-7i-5p	15432.860499884	14111.9977758034	17414.1545860049	1.23399640948523	0.303338196735803	0.570294105519098	1
hsa-miR-1	0	0	0	NA	NA	NA	NA
