Sample_name	aae	aau	aca	aga	age	ahy	aja	aly	ama	ame	amg	api	aqc	aqu	asu	ata	ath	atr	bbe	bcy	bdi	bfl	bfv	bgy	bhv1	bhv5	bkv	blv	bma	bmo	bna	bol	bpcv1	bpcv2	bra	bta	cbn	cbr	cca	ccl	ccr	cel	cfa	cgr	chi	cin	cla	cln	cme	cpa	cqu	cre	crm	crt	csa	csi	cte	ctr	dan	ddi	der	dev	dgr	dme	dmo	dpe	dpr	dps	dpu	dre	dse	dsi	dvi	dwi	dya	ebv	eca	efu	egr	egu	emu	esi	far	fru	gar	gga	ggo	ghb	ghr	gma	gpy	gra	gsa	gso	han	har	hbr	hbv	hci	hcmv	hco	hex	hhi	hhv6b	hiv1	hma	hme	hpa	hpe	hru	hsa	hsv1	hsv2	htu	hvsa	hvt	hvu	iltv	ipu	isc	jcv	kshv	lca	lco	lgi	lja	lla	lmi	lus	lva	mcmv	mcv	mdm	mdo	mdv1	mdv2	mes	meu	mghv	mja	mml	mmu	mne	mse	mtr	ngi	nlo	nta	nve	nvi	oan	oar	ocu	odi	oha	ola	osa	pab	pbi	pde	peu	pgi	pin	pma	pmi	pol	ppa	ppc	ppe	ppt	ppy	pra	prd	prv	psj	pta	ptc	pti	ptr	pvu	pxy	rco	rgl	rlcv	rmi	rno	rrv	sbi	sci	sha	sja	sko	sla	sly	sma	sme	smo	smr	sof	spu	ssa	ssc	ssl	ssp	ssy	str	stu	sv40	tae	tca	tcc	tch	tgu	tni	tre	ttu	tur	vun	vvi	xbo	xla	xtr	zma
WTCHG_189135_274_1.trimmed.bowtie_against_all_hairpin.sam	457	116	347	251	24	28	3	768	0	1013	15	278	42	8	116	208	1208	835	207	2	1000	238	26	2	23	4	0	0	131	2995	121	64	1	0	203	1151	89	337	59	11	157	390	1148	165	205	334	0	5	447	71	121	315	179	13	57	136	155	18	32	27	21	23	33	368	40	9	14	207	34	418	33	230	228	76	42	12	1274	1808	12	6	17	151	19	59	0	1511	322	0	243	1751	1	1782	49	10	12	5	94	14	1	10	554	2	28	3	10	5	159	5	2	3	2914	26	8	11	0	14	115	3	239	67	1	27	13	1	155	94	5	0	211	168	10	0	235	207	8	59	623	4	12	16	486	1642	13	96	2055	8	5	280	145	91	1574	312	38	169	165	299	2880	112	4	118	9	78	1	532	96	1	10	2951	472	824	713	2	287	59	5	122	1166	38	368	22	182	77	68	3012	46	998	38	660	0	289	103	92	4	296	353	136	145	0	15	211	254	263	29	44	2	74	219	1	200	562	230	75	311	169	1	3	145	35	361	19	77	199	617
WTCHG_189135_275_1.trimmed.bowtie_against_all_hairpin.sam	508	104	398	317	15	42	3	679	0	1122	16	298	59	11	161	261	1417	996	270	3	1266	273	23	1	33	9	0	4	159	2943	173	99	0	0	286	1963	134	317	66	10	190	364	1332	180	264	378	0	6	575	108	201	327	256	26	203	157	194	17	27	26	40	23	39	352	48	19	11	275	45	488	41	274	246	73	30	29	1434	2039	11	17	22	244	31	63	1	1819	381	2	320	1798	2	2089	52	19	7	3	171	17	4	18	617	1	39	4	8	15	177	16	7	24	3256	44	34	21	1	14	128	1	329	83	1	36	7	1	178	107	2	0	280	190	20	0	310	331	12	64	775	4	11	10	606	1882	16	135	2373	14	11	323	226	119	1544	402	43	275	245	368	4058	178	4	298	9	76	1	545	117	3	18	3361	642	1045	851	4	289	64	6	120	993	70	411	35	304	95	114	3274	62	901	54	789	0	284	182	114	5	372	560	168	191	3	20	252	229	305	43	40	3	81	280	2	265	603	365	101	368	196	2	4	427	46	450	43	137	269	584
WTCHG_189135_276_1.trimmed.bowtie_against_all_hairpin.sam	1620	215	304	425	11	28	4	484	0	774	50	160	46	19	96	283	1160	1051	233	2	777	164	25	2	27	7	1	3	87	2298	132	16	1	0	230	2513	122	458	51	6	171	300	1818	207	296	345	1	3	617	58	108	183	230	12	94	116	196	28	29	23	17	11	19	317	34	5	10	137	28	307	30	103	160	128	36	13	2160	1693	5	18	8	152	23	63	1	1468	414	0	261	6483	1	1893	19	15	7	2	97	11	1	13	464	1	37	4	4	9	112	3	3	3	3618	18	21	25	0	11	117	3	183	59	1	92	6	0	131	129	1	1	379	127	5	0	237	304	5	31	470	2	10	7	749	1637	7	96	2301	12	2	254	167	69	1747	284	24	397	232	269	3770	58	2	86	3	39	1	411	60	3	11	1130	409	909	799	1	81	179	4	127	936	43	399	27	234	53	364	1672	35	665	34	778	0	90	77	65	5	242	394	142	256	1	22	148	254	428	32	25	1	73	226	4	174	519	229	59	344	71	3	11	142	11	483	318	184	240	743
WTCHG_189135_277_1.trimmed.bowtie_against_all_hairpin.sam	815	223	252	334	7	16	3	587	0	910	14	160	35	2	94	245	1037	918	170	1	890	159	7	0	18	6	0	1	92	3041	110	26	0	0	197	3888	99	226	46	3	99	289	1418	83	147	337	0	2	532	66	117	150	154	417	229	101	129	30	52	42	21	12	22	390	25	11	11	136	18	300	43	132	154	178	29	10	1684	1273	6	9	7	130	12	40	0	1294	237	1	270	5600	0	2198	27	6	5	2	186	6	4	6	330	0	66	3	3	5	87	3	1	4	2830	28	21	15	0	6	153	6	168	44	2	118	3	0	112	105	5	0	360	114	6	0	215	257	2	13	507	0	10	10	439	1571	11	61	2535	9	9	224	96	28	1368	184	16	231	189	266	2146	133	2	87	1	27	1	373	42	2	11	1097	432	786	644	0	86	224	2	118	882	52	255	12	187	46	139	1665	27	463	34	648	0	79	84	41	7	208	409	124	194	2	13	128	171	321	38	14	6	92	195	3	146	491	197	60	313	104	1	1	77	26	412	322	478	232	539
WTCHG_189135_278_1.trimmed.bowtie_against_all_hairpin.sam	1169	102	244	460	19	20	10	642	0	1383	21	235	37	12	87	317	1091	1270	231	3	1233	222	18	1	26	15	0	2	89	2058	89	24	0	0	226	6103	165	226	56	6	156	373	2237	364	432	387	0	1	576	82	126	176	192	1181	346	149	133	69	124	39	28	11	19	557	17	11	9	149	32	362	26	195	185	302	34	12	2417	1901	4	13	8	167	11	68	0	1492	465	2	318	9338	0	2428	21	10	10	3	145	7	1	7	592	0	149	6	5	9	85	8	2	7	3451	28	17	16	0	4	289	2	223	56	1	235	7	0	126	88	6	1	603	103	9	0	367	322	2	9	837	0	4	5	916	2428	7	69	2646	8	3	268	139	40	1671	463	5	408	219	313	2482	66	3	137	3	31	0	593	49	3	18	1462	492	1126	882	3	93	362	9	184	1206	60	582	20	214	82	128	2775	31	717	38	837	0	99	88	86	14	217	581	136	267	3	10	143	238	641	36	23	5	99	209	1	155	394	241	51	315	66	0	0	98	19	625	462	702	232	557
WTCHG_189135_279_1.trimmed.bowtie_against_all_hairpin.sam	1101	220	495	352	19	36	3	830	0	1075	7	341	91	24	220	387	1743	1577	398	2	1367	340	11	3	44	9	4	2	232	4089	242	96	0	1	344	4303	203	543	75	23	285	585	1968	367	444	617	0	5	824	108	280	276	318	695	132	265	303	60	143	60	57	41	44	650	73	14	22	465	73	557	57	296	319	91	75	23	2158	2721	16	23	18	232	31	98	1	2610	608	3	459	9737	2	2501	86	10	12	4	108	29	3	24	677	2	73	2	20	15	225	11	20	21	4353	39	22	26	2	24	227	8	316	124	0	33	8	1	295	130	10	3	553	311	14	3	456	488	13	105	912	4	6	16	851	2630	18	172	2939	20	6	409	310	66	1839	274	66	354	257	538	3642	162	5	148	5	112	2	681	144	3	22	2738	841	1313	1091	5	231	252	4	155	1622	66	614	46	379	114	186	3031	44	1069	89	962	0	123	228	163	14	440	541	224	234	2	14	404	377	692	47	22	9	197	386	1	301	911	412	115	490	171	3	16	145	42	924	321	443	380	735
WTCHG_189135_280_1.trimmed.bowtie_against_all_hairpin.sam	826	122	254	271	15	13	4	587	0	785	15	167	36	6	86	297	667	860	148	1	979	177	25	0	21	1	0	0	60	2304	93	55	1	0	225	4496	125	233	35	3	126	275	1549	408	482	338	0	5	380	120	125	127	174	4	237	151	162	95	30	18	20	14	22	453	20	10	4	151	27	312	40	184	105	301	28	13	2985	1798	4	20	9	158	17	49	0	1199	555	1	211	9804	4	2025	17	10	4	1	131	9	2	9	471	0	35	3	2	12	143	9	2	3	4698	27	24	12	0	13	129	1	214	42	0	244	4	0	193	61	3	0	350	73	10	0	263	206	7	18	384	2	4	5	858	3342	5	82	2420	4	6	176	161	29	1769	565	18	304	210	245	3891	120	1	257	6	41	0	511	43	1	9	1188	447	643	979	0	95	149	4	265	1353	36	614	15	174	20	126	1857	28	774	31	1194	1	100	95	55	5	282	395	83	93	1	8	112	156	626	21	20	2	68	175	1	153	361	184	35	280	114	0	1	283	13	433	129	466	191	515
WTCHG_189135_281_1.trimmed.bowtie_against_all_hairpin.sam	985	209	1126	401	57	55	9	1714	2	1762	13	642	176	53	309	577	2540	2512	666	12	2671	636	39	6	77	12	2	7	408	3619	418	265	2	1	539	2925	464	602	154	31	627	980	2049	632	841	1381	2	16	1618	208	289	561	630	15	166	541	530	113	55	51	92	76	104	1068	85	40	28	905	146	1210	106	580	624	197	115	67	4931	4261	31	53	61	308	52	218	0	3998	954	3	761	18598	1	4365	171	32	35	7	156	70	7	48	1128	4	97	15	32	64	353	30	10	23	7804	46	33	46	1	53	446	9	546	180	1	20	8	1	572	291	12	1	979	513	24	0	743	870	33	215	1715	6	31	67	1401	5484	35	229	5344	19	24	719	531	124	3669	399	172	502	545	990	5871	268	10	344	26	277	1	1289	446	7	36	5392	1774	2033	1747	3	546	156	1	401	3118	125	1204	72	771	159	335	3850	119	1876	86	2770	1	256	383	285	26	688	788	425	350	4	47	671	730	1364	79	74	8	299	691	3	747	1626	823	135	982	323	5	32	263	78	1823	76	131	505	900
WTCHG_189135_282_1.trimmed.bowtie_against_all_hairpin.sam	1996	358	1343	767	35	91	8	2103	1	2764	27	634	169	16	297	1080	2600	3034	542	5	3558	675	111	3	71	46	1	8	340	7621	357	149	2	0	714	11945	441	912	200	36	622	985	4223	1200	1390	1343	2	6	1509	339	522	544	720	49	543	610	779	196	56	82	60	44	73	1577	127	33	32	641	107	1538	106	701	563	908	88	53	8940	5166	28	50	33	475	61	239	0	4801	1825	3	879	30267	1	7294	90	35	28	9	252	34	3	32	1562	1	193	7	15	31	433	15	6	4	14060	89	64	43	6	37	383	3	1070	230	1	674	7	1	560	346	8	2	1350	352	30	0	776	846	21	65	1500	2	19	34	2427	9952	21	284	8691	42	20	769	524	433	6432	882	43	785	998	2222	11818	410	9	470	15	197	1	2047	759	9	41	5113	1762	2520	2904	3	397	403	25	691	5418	148	1757	54	770	154	363	6599	118	2704	118	3393	0	286	291	200	17	1104	2397	385	530	5	32	532	632	1927	99	71	14	243	672	8	606	1974	836	151	901	478	3	50	424	59	1438	347	939	693	1759
WTCHG_189135_283_1.trimmed.bowtie_against_all_hairpin.sam	930	147	878	295	15	77	6	1308	0	1284	13	384	151	22	277	788	2028	1858	560	9	2036	482	43	4	54	34	4	4	365	2659	303	222	1	2	448	6424	291	681	146	35	431	615	1832	489	408	1082	0	15	1026	163	251	446	521	25	215	449	404	154	49	52	89	77	83	1029	85	26	29	688	98	1242	112	378	409	409	68	40	3515	3341	24	44	66	320	71	150	1	3988	892	1	626	10387	0	3871	114	26	16	3	283	39	8	46	938	2	79	13	15	50	360	22	8	13	7843	53	28	22	4	33	273	6	686	161	0	252	6	1	529	300	15	0	701	376	13	2	624	664	24	161	808	13	14	48	1184	4698	25	254	4401	23	17	488	533	93	2503	311	116	466	650	646	6444	327	6	381	19	215	3	1176	216	21	28	2711	1654	1673	1423	2	412	135	8	369	2164	116	786	80	616	146	222	1868	52	1324	75	1963	1	181	228	236	16	714	1235	338	353	4	57	448	435	776	67	55	5	212	666	4	492	1200	747	99	678	750	1	18	312	63	1221	117	641	442	1010
