Sample_name	sample_nature	Bombyx mori (caterpillar)	Bos taurus (cow)	Equus caballus (horse)	Eptesicus fuscus (bat)	Glycine max (soya bean)	Gossypium raimondii (flower)	Homo Sapience	Mus musculus (mouse)	Medicago truncatula (plant)	Oryza sativa (rice)
WTCHG_189135_274_1.trimmed.bowtie_against_all_hairpin.sam	HC1	2995	1151	1274	1808	1751	1782	2914	1642	2055	2880
WTCHG_189135_275_1.trimmed.bowtie_against_all_hairpin.sam	HC1	2943	1963	1434	2039	1798	2089	3256	1882	2373	4058
WTCHG_189135_276_1.trimmed.bowtie_against_all_hairpin.sam	HC2	2298	2513	2160	1693	6483	1893	3618	1637	2301	3770
WTCHG_189135_277_1.trimmed.bowtie_against_all_hairpin.sam	HC2	3041	3888	1684	1273	5600	2198	2830	1571	2535	2146
WTCHG_189135_278_1.trimmed.bowtie_against_all_hairpin.sam	HC3	2058	6103	2417	1901	9338	2428	3451	2428	2646	2482
WTCHG_189135_279_1.trimmed.bowtie_against_all_hairpin.sam	HC3	4089	4303	2158	2721	9737	2501	4353	2630	2939	3642
WTCHG_189135_280_1.trimmed.bowtie_against_all_hairpin.sam	HC4	2304	4496	2985	1798	9804	2025	4698	3342	2420	3891
WTCHG_189135_281_1.trimmed.bowtie_against_all_hairpin.sam	HC4	3619	2925	4931	4261	18598	4365	7804	5484	5344	5871
WTCHG_189135_282_1.trimmed.bowtie_against_all_hairpin.sam	AS1	7621	11945	8940	5166	30267	7294	14060	9952	8691	11818
WTCHG_189135_283_1.trimmed.bowtie_against_all_hairpin.sam	AS1	2659	6424	3515	3341	10387	3871	7843	4698	4401	6444
WTCHG_189135_284_1.trimmed.bowtie_against_all_hairpin.sam	AS2	2165	2143	3181	3119	6299	3227	5672	3799	3799	4199
WTCHG_189135_285_1.trimmed.bowtie_against_all_hairpin.sam	AS2	4615	3609	5655	7737	6618	5942	12145	7392	8004	9477
WTCHG_189135_286_1.trimmed.bowtie_against_all_hairpin.sam	AS3	2077	3934	3646	3171	8066	2930	6843	4093	3625	5926
WTCHG_189135_288_1.trimmed.bowtie_against_all_hairpin.sam	AS4	2302	3287	3405	2422	5377	2816	5490	4027	3618	4226
WTCHG_189135_289_1.trimmed.bowtie_against_all_hairpin.sam	AS4	4860	4571	6203	6297	6998	6142	11735	8630	7900	9533
WTCHG_189135_290_1.trimmed.bowtie_against_all_hairpin.sam	AD35	425	619	5069	829	955	207	1114	965	358	948
WTCHG_189135_291_1.trimmed.bowtie_against_all_hairpin.sam	AD35	925	4333	2664	1788	11025	1703	4879	2532	2008	3216
WTCHG_189135_292_1.trimmed.bowtie_against_all_hairpin.sam	AD48	0	0	3	4	25	1	50	8	0	111
WTCHG_189135_293_1.trimmed.bowtie_against_all_hairpin.sam	AD48	567	3163	1704	1084	6466	1438	2829	1499	1293	2220
WTCHG_189136_274_1.trimmed.bowtie_against_all_hairpin.sam	HC1	3154	1212	1353	1969	1810	1847	2831	1688	2013	2945
WTCHG_189136_275_1.trimmed.bowtie_against_all_hairpin.sam	HC1	3155	2030	1566	2234	1899	2083	3382	1924	2457	4144
WTCHG_189136_276_1.trimmed.bowtie_against_all_hairpin.sam	HC2	2323	2450	2283	1834	6756	1919	3656	1813	2392	4035
WTCHG_189136_277_1.trimmed.bowtie_against_all_hairpin.sam	HC2	3131	3921	1795	1304	5565	2319	2971	1640	2490	2236
WTCHG_189136_278_1.trimmed.bowtie_against_all_hairpin.sam	HC3	2039	5903	2422	1998	9502	2430	3639	2577	2599	2680
WTCHG_189136_279_1.trimmed.bowtie_against_all_hairpin.sam	HC3	4049	4269	2262	2656	10052	2421	4406	2617	3076	3706
WTCHG_189136_280_1.trimmed.bowtie_against_all_hairpin.sam	HC4	2303	4581	3032	1800	10263	2001	4578	3400	2507	3909
WTCHG_189136_281_1.trimmed.bowtie_against_all_hairpin.sam	HC4	3640	2947	5029	4248	18928	4478	7935	5720	5560	6034
WTCHG_189136_282_1.trimmed.bowtie_against_all_hairpin.sam	AS1	7584	12293	9067	5319	30711	7503	14356	10177	9046	12346
WTCHG_189136_283_1.trimmed.bowtie_against_all_hairpin.sam	AS1	2740	6712	3504	3353	10746	4008	8083	4833	4417	6691
WTCHG_189136_284_1.trimmed.bowtie_against_all_hairpin.sam	AS2	2184	2220	3317	3195	6517	3339	5739	3721	3992	4544
WTCHG_189136_285_1.trimmed.bowtie_against_all_hairpin.sam	AS2	4491	3705	5758	8089	6696	6141	12501	7787	8155	9783
WTCHG_189136_286_1.trimmed.bowtie_against_all_hairpin.sam	AS3	2100	4054	3731	3236	8197	3087	7123	4199	3825	6045
WTCHG_189136_288_1.trimmed.bowtie_against_all_hairpin.sam	AS4	2362	3301	3432	2283	5407	2848	5600	4055	3690	4362
WTCHG_189136_289_1.trimmed.bowtie_against_all_hairpin.sam	AS4	5049	4550	6443	6393	6973	6488	12006	8792	7920	9950
WTCHG_189136_290_1.trimmed.bowtie_against_all_hairpin.sam	AD35	385	674	5248	842	961	259	1251	955	376	976
WTCHG_189136_291_1.trimmed.bowtie_against_all_hairpin.sam	AD35	954	4499	2676	1809	11243	1762	5225	2647	2013	3446
WTCHG_189136_292_1.trimmed.bowtie_against_all_hairpin.sam	AD48	0	4	3	6	28	0	74	6	0	119
WTCHG_189136_293_1.trimmed.bowtie_against_all_hairpin.sam	AD48	586	3195	1771	1106	6840	1536	2912	1568	1228	2283
sums	NA	103792	143890	127720	106126	314686	111321	213852	138330	134066	177092
mirna_name	NA	bmo	bta	eca	efu	gma	gra	hsa	mmu	mtr	osa

