gene	control1	control2	control3	control4	mir1	mir2	mir3	mir4
P2RX5	368.875530134873	376.887203390529	322.618731898962	375.462876941585	449.193324414284	447.14864200508	431.861074673101	379.543151465657
IGNF	1911.26708013882	1740.15888440471	416.633393035163	1043.59425283251	2058.10305882339	1759.33330719381	390.199182763461	1360.93330025543
IL17A	88.5301272323694	158.017811838217	43.5436325262403	19.2545065098249	66.1195781264016	177.396393760707	67.0654845374698	41.2075421591285
VEGFA	203.61929263445	129.554976165495	190.998206308281	134.781545568774	247.686038695727	139.905403326743	236.761483291371	543.288911097984
ZNF410	9.8366808035966	14.7221563824426	10.8859081315601	7.70180260392994	25.1884107148197	25.6036032231948	13.2098681664713	17.3505440670015
MAP2K2	1063.34519486879	960.866073227418	1029.21313243841	1043.59425283251	1104.0920029996	1135.70268582885	1139.09709343187	1165.73967950166
IL22	189.847939509414	308.183806939131	81.1494969807205	222.389550188477	239.289901790787	440.747741199281	99.5820831010915	170.252213657452
NEK7	3442.83828125881	3740.40919823257	3388.48631295106	3533.20194455286	3805.54905216401	4016.10804843826	3813.58732528976	3852.90519187852
KCTD18	560.690805805006	535.886492320909	600.704203259724	560.306139435903	642.304473227902	667.52251260472	646.267396451982	667.995946579557
ZNF385A	26.5590381697108	21.5924960275824	14.8444201794001	18.2917811843336	33.5845476197596	28.3468464256799	28.452023743169	62.8957222428804
CMPK1	3935.655989519	4601.16460805938	5113.40793779735	4743.34767869535	4822.53113477485	5979.3557670168	5930.21466304051	5714.83545206861
E2F7	442.650636161847	426.942535090834	391.892692736163	393.754658125918	543.649864594858	482.810803637387	428.812643557761	601.846997324114
ZNF747	283.296407143582	249.295181409361	267.199563229202	232.979528768881	316.954168161481	293.527022665911	320.085267110651	293.874840134838
METTL23	370.842866295592	306.220852754805	337.463152078362	349.469293153321	420.856362360112	391.369363554548	397.312188699253	378.45874246147
INPP5J	3.93467232143864	1.96295418432567	0.989628011960007	4.81362662745622	1	1	1	1
TMPRSS6	18.6896935268335	17.6665876589311	30.6784683707602	23.1054078117898	37.7826160722295	19.2027024173961	47.7587541403194	87.837129339195
LRRC66	2.95100424107898	4.90738546081419	2.96888403588002	2.88817597647373	9.44565401805738	7.31531520662707	11.177580756245	7.59086302931315
HIATL2	38.3630551340267	42.203514963002	39.5851204784003	44.2853649725972	56.6739241083443	60.3513504546734	48.7748978454326	60.7269042345052
IGLV2-14	6.88567656251762	8.83329382946554	0.989628011960007	3.85090130196497	1	0.914414400828384	1	1
IGHV3-15	1	1	1	1	3.14855133935246	2.74324320248515	2.03228741022636	2.16881800837519
RPS12P26	4.9183404017983	3.92590836865135	0.989628011960007	2.88817597647373	1	1	1	1
ETF1P3	56.0690805805006	56.9256713454446	62.3465647534804	63.539871482422	33.5845476197596	42.9774768389341	49.7910415505457	44.4607691716913
RP11-227D13.4	2.95100424107898	1.96295418432567	1	2.88817597647373	6.29710267870492	6.40090080579869	8.12914964090543	5.42204502093796
MAP3K7	1676.17040893286	1770.58467426176	1890.18950284361	1722.31560730383	1769.48585271608	1770.30628000375	1978.43179385536	1796.86571993884
BTRC	749.555077234061	774.385425716479	807.536457759365	775.956612345942	683.235640639484	794.626114319866	803.769670744524	848.007841274698
