ENSG00000155729.8	KCTD18
ENSG00000162368.9	CMPK1
ENSG00000165891.11	E2F7
ENSG00000211666.2	IGLV2-14
ENSG00000161642.13	ZNF385A
ENSG00000187045.12	TMPRSS6
ENSG00000083454.17	P2RX5
ENSG00000112715.16	VEGFA
ENSG00000225193.5	RPS12P26
ENSG00000151414.10	NEK7
ENSG00000233833.1	ETF1P3
ENSG00000188993.3	LRRC66
ENSG00000169955.6	ZNF747
ENSG00000211943.2	IGHV3-15
ENSG00000126934.9	MAP2K2
ENSG00000119725.13	ZNF410
ENSG00000196312.7	HIATL2
ENSG00000185133.9	INPP5J
ENSG00000181038.9	METTL23
ENSG00000259469.1	RP11-227D13.4
ENSG00000182175.9	RGMA
ENSG00000258405.5	ZNF578
ENSG00000228037.1	RP3-395M20.9
ENSG00000249786.3	EAF1-AS1
ENSG00000264773.1	MIR4420
ENSG00000273489.1	RP11-180C16.1
ENSG00000262413.1	RP11-498C9.3
ENSG00000244607.1	CCDC13
ENSG00000164070.7	HSPA4L
ENSG00000179604.8	CDC42EP4
ENSG00000231741.2	RP11-213G2.5
ENSG00000128342.4	LIF
ENSG00000145911.5	N4BP3
ENSG00000268802.1	CTD-2587H19.1
ENSG00000186767.5	SPIN4
ENSG00000258978.1	HIF1AP1
ENSG00000155980.7	KIF5A
ENSG00000213871.3	TAF9BP1
ENSG00000234589.3	RP11-253E3.1
ENSG00000179477.5	ALOX12B
ENSG00000258072.1	RP11-554D14.2
ENSG00000261186.1	RP11-341N2.1
ENSG00000234817.2	RP3-400B16.1
ENSG00000261435.1	MIR1587
ENSG00000198598.2	MMP17
ENSG00000138495.2	COX17
ENSG00000186862.13	PDZD7
ENSG00000147082.13	CCNB3
ENSG00000270084.1	GAS5-AS1
ENSG00000132837.10	DMGDH
ENSG00000182704.6	TSKU
ENSG00000261542.1	RP11-16E18.3
ENSG00000225720.2	RP4-742C19.12
ENSG00000228051.1	RP11-325E14.2
ENSG00000230366.5	DSCR9
ENSG00000254093.4	PINX1
ENSG00000166920.6	C15orf48
ENSG00000102302.7	FGD1
ENSG00000104691.10	UBXN8
ENSG00000135679.17	MDM2
ENSG00000240751.1	RP11-553D4.2
ENSG00000235325.1	AC009963.6
ENSG00000230383.1	AC009245.3
ENSG00000207181.1	SNORA14B
ENSG00000119950.16	MXI1
ENSG00000237950.1	RP11-7O11.3
ENSG00000173535.9	TNFRSF10C
ENSG00000225979.1	AC010746.3
ENSG00000116017.6	ARID3A
ENSG00000255221.2	CARD17
ENSG00000229036.3	RP1-20N2.6
ENSG00000258623.1	CTD-2325P2.3
ENSG00000220748.2	RP1-59B16.1
ENSG00000245205.3	EEF1A1P4
ENSG00000101213.5	PTK6
ENSG00000270964.1	RP11-502I4.3
ENSG00000225556.1	C2CD4D
ENSG00000230053.2	RP11-76N22.1
ENSG00000135517.6	MIP
ENSG00000136718.5	IMP4
ENSG00000054356.9	PTPRN
ENSG00000211844.1	TRAJ45
ENSG00000167723.10	TRPV3
ENSG00000272192.1	CTD-2532N20.1
ENSG00000243708.4	PLA2G4B
ENSG00000177453.3	NIM1
ENSG00000146858.7	ZC3HAV1L
ENSG00000239002.2	SCARNA10
ENSG00000237381.2	RP3-455H14.1
ENSG00000255993.1	PSMC1P9
ENSG00000243836.1	WDR86-AS1
ENSG00000267321.1	RP11-1094M14.11
ENSG00000270929.1	CTD-2514A21.3
ENSG00000182687.3	GALR2
ENSG00000135972.4	MRPS9
ENSG00000234811.1	RP11-241I20.5
ENSG00000196739.10	COL27A1
ENSG00000231058.1	MSANTD2P1
ENSG00000106333.8	PCOLCE
