miR-10b1	miR-10b2	miR-10b3	miR-10b4	miR-cont1	miR-cont2	miR-cont3	miR-cont4
ENSG00000000003.10	13.7713531250352	8.83329382946554	9.89628011960007	6.7390772784387	10.4951711311749	6.40090080579869	7.11300593579225	5.42204502093796
ENSG00000000419.8	1078.10021607419	1105.14320577535	1220.21133874669	1217.84753674642	1047.41807889125	1115.58556901063	1311.84152330111	1075.73373215409
ENSG00000000457.9	988.586420761458	954.977210674441	799.619433663685	744.186676604731	960.3081585025	947.333319258206	802.753527039411	800.293845090443
ENSG00000000460.12	848.905553350387	751.811452596733	930.250331242406	950.209896259857	910.980854185978	792.797285518209	948.062076870596	917.410017542703
ENSG00000000938.8	301.002432590056	74.5922590043756	7.91702409568005	44.2853649725972	319.053202387716	58.5225216530166	10.1614370511318	52.0516322010044
ENSG00000000971.11	134.762527009273	61.8330568062587	32.6577243946802	100.123433851089	147.981912949566	56.6936928513598	29.4681674482822	120.369399464823
ENSG00000001036.9	420.026270313575	448.535031118417	589.818295128164	680.646805122309	382.024229174765	451.720714009222	668.622557964471	623.535177407866
ENSG00000001084.6	1222.69942388706	1201.32796080731	956.970287565326	1087.8796178051	1074.70552383231	1148.50448744045	1009.03069917739	1112.60363829647
ENSG00000001167.10	1592.55862210229	1616.49277079219	1615.07291551873	1446.01343888785	1710.7128943815	1723.6711455615	1647.16894598846	1453.10806561137
ENSG00000001460.13	169.190909821862	189.425078787428	231.572954798642	178.10418521588	171.07128943815	197.513510578931	196.115735086843	206.037710795643
ENSG00000001461.12	1892.57738661199	2319.23036878078	2216.76674679041	2004.39412767277	1787.32764363908	2321.69816370327	2125.77263109677	2076.64324301924
ENSG00000001497.12	1699.77844286149	1869.7138605702	1831.80145013797	1888.86708861382	1641.44476491575	1734.64411837144	1855.47840553666	1609.26296221439
ENSG00000001561.6	1077.11654799383	1012.88435911205	752.117289089605	825.055603945995	1039.02194198631	967.45043607643	763.123922539997	844.754614262135
ENSG00000001617.7	1.96733616071932	1.96295418432567	0	1.92545065098249	1.04951711311749	0.914414400828384	2.03228741022636	7.59086302931315
ENSG00000001626.10	0	0	5.93776807176004	12.5154292313862	1.04951711311749	0.914414400828384	2.03228741022636	9.75968103768833
ENSG00000001629.5	2027.33991362126	1676.36287341413	1528.97527847821	1578.86953380564	1916.41824855253	1659.66213750352	1670.54025120607	1727.46354367084
ENSG00000001630.11	77.7097783484131	90.295892478981	92.0354051122806	135.744270894265	71.3671636919891	87.7837824795249	85.356071229507	151.817260586263
ENSG00000001631.10	1054.49218214556	895.107108052508	655.133743917524	788.472041577328	1101.99296877336	810.171159133948	707.236018758772	743.904576872689
ENSG00000002016.12	285.263743304301	165.869628575519	140.527177698321	107.825236455019	282.320103428604	174.653150558221	149.373124651637	126.875853489948
ENSG00000002330.9	416.091597992136	431.849920551648	598.724947235804	570.896118016307	378.875677835413	445.319813203423	636.10595940085	558.47063715661
ENSG00000002549.8	1747.97817879912	1933.50987156079	2198.95344257513	1914.86067240208	1683.42544944045	1924.84231374375	2450.93861673299	1632.03555130233
ENSG00000002586.13	2201.44916384492	1982.58372616893	2921.38189130594	3077.8328655955	2287.94730659612	2144.30176994256	2904.13870921346	3463.60235937517
ENSG00000002587.5	0.98366808035966	4.90738546081419	3.95851204784003	8.66452792942119	5.24758556558743	5.4864864049703	1.01614370511318	4.33763601675037
ENSG00000002726.15	1.96733616071932	0.981477092162837	0	0.962725325491243	1.04951711311749	0.914414400828384	0	1.08440900418759
ENSG00000002745.8	0.98366808035966	0	0	0.962725325491243	1.04951711311749	0	0	0
ENSG00000002746.10	0	3.92590836865135	1.97925602392001	1.92545065098249	1.04951711311749	0	0	0
ENSG00000002822.11	696.437000894639	926.514375001718	911.447399015166	732.633972698836	693.730811770659	895.211698410988	839.334700423485	799.209436086256
ENSG00000002834.13	9417.63820136338	10834.5256203856	11538.0729914417	11363.0470167731	9153.88826061072	10824.8376770064	10996.7071767348	10844.0900418759
ENSG00000002919.10	717.094030582192	845.051776352203	687.791468312205	712.41674086352	703.176465788716	857.720707977024	688.945432066735	701.612625709372
ENSG00000002933.3	0.98366808035966	2.94443127648851	0.989628011960007	1.92545065098249	2.09903422623497	2.74324320248515	0	1.08440900418759
ENSG00000003056.3	4042.8758102782	4053.50039063252	4334.57069238483	4071.36540150247	3992.36309829892	4080.11705649625	4467.98387138265	4049.18322163647
ENSG00000003096.9	15.7386892857546	26.4998814883966	8.90665210764006	25.9935837882636	13.6437224705273	15.5450448140825	9.14529334601861	19.5193620753767
ENSG00000003147.13	55.085412500141	75.5737360965385	58.3880527056404	86.6452792942119	53.5253727689918	83.211710475383	54.8717600761116	84.5839023266322
ENSG00000003249.9	4.9183404017983	54.9627171611189	14.8444201794001	8.66452792942119	6.29710267870492	51.2072064463895	15.2421555766977	4.33763601675037
ENSG00000003393.10	411.173257590338	290.5172192802	374.079388520883	448.630001678919	392.51940030594	344.734229112301	439.990224314006	446.776509725288
ENSG00000003400.10	1474.51845245913	1444.7342796637	1353.81112036129	1070.55056194626	1419.99665404796	1452.09006851547	1298.63165513464	1148.38913543466
ENSG00000003402.15	6139.07248952464	5516.88273504731	4535.46517881271	5622.31590086886	6057.81277691413	5582.49991705728	4361.28878234576	5663.8682288718
ENSG00000003436.10	3.93467232143864	4.90738546081419	0	3.85090130196497	2.09903422623497	0.914414400828384	2.03228741022636	3.25322701256278
ENSG00000003509.11	444.617972322566	365.109478284575	342.411292138162	338.879314572918	459.688495545459	323.702697893248	355.650296789612	371.952288436344
ENSG00000003756.12	2787.71533973928	1564.47448490756	1183.59510230417	1028.19064762465	2999.51990928978	1636.80177748281	1130.96794379097	1428.16665851506
ENSG00000003987.9	1.96733616071932	1.96295418432567	0	0	2.09903422623497	2.74324320248515	2.03228741022636	0
ENSG00000003989.12	0.98366808035966	2.94443127648851	0.989628011960007	2.88817597647373	2.09903422623497	0.914414400828384	0	3.25322701256278
ENSG00000004059.6	890.219612725492	954.977210674441	1231.09724687825	1058.99785804037	895.238097489216	982.995480890513	1072.0316088944	1067.05846012059
ENSG00000004139.9	952.190701788151	819.533371955969	783.785385472325	749.963028557678	1005.43739436655	791.882871117381	798.688952218958	758.001893927127
ENSG00000004142.7	2447.36618393483	2983.69036017503	3338.0152843411	2959.41765056008	2326.77943978147	2811.82428254728	3334.98364018145	2673.06819532242
ENSG00000004399.8	301.986100670416	318.980054952922	44.5332605382003	140.557897521721	288.617206107309	380.396390744608	47.7587541403194	206.037710795643
ENSG00000004455.12	4166.81798840352	4642.38664593022	5635.93152811224	5165.98409658601	4029.09619725803	4458.6846184392	5827.58414882408	5012.13841735505
ENSG00000004468.8	1472.55111629841	1610.60390823922	2713.56000879434	1750.23464174308	1448.33361610213	1608.45493105713	2918.36472108505	1911.81307438273
ENSG00000004478.5	2833.94773951618	3403.76255562072	3152.95484610458	4000.12372741611	2527.23720838691	3192.22067329189	3222.19168891389	3169.72751924033
ENSG00000004487.11	1832.57363371005	1981.60224907677	2239.52819106549	2286.4726480417	1848.19963619989	2012.62609622327	2261.93588758194	2203.51909650919
ENSG00000004534.10	2655.90381697108	1522.27096994456	1261.77571524901	1367.06996219757	3183.18540408534	1477.69367173867	1300.66394254487	1289.36230597905
ENSG00000004660.10	132.795190848554	108.943957230075	97.9731731840406	67.390772784387	143.783844497096	106.072070496093	83.3237838192806	69.4021762680059
ENSG00000004700.11	5431.81513974604	5029.08862024238	5777.44833382252	5414.36723056275	5709.37309535913	5081.40082540333	5548.14462991795	4998.04110030061
ENSG00000004766.11	770.212106921614	683.108056145335	780.816501436445	686.423157075256	718.919222485478	671.180170208034	742.801048437733	632.210449441367
ENSG00000004776.7	2.95100424107898	0.981477092162837	0.989628011960007	5.77635195294746	1.04951711311749	0.914414400828384	3.04843111533954	5.42204502093796
ENSG00000004777.14	386.581555581346	104.036571769261	78.1806129448405	82.7943779922469	621.314130965552	147.22071853337	94.5013645755256	105.187673406196
ENSG00000004779.5	1044.65550134196	1248.43886123113	1554.70560678917	1389.21264468386	1027.47725374202	1254.57655793654	1419.55275604311	1230.80421975292
ENSG00000004838.9	33.4447147322284	8.83329382946554	20.7821882511601	9.62725325491243	55.6244069952268	18.2882880165677	10.1614370511318	6.50645402512556
ENSG00000004864.9	303.953436831135	258.128475238826	304.805427683682	362.947447710199	288.617206107309	299.013509070882	344.472716033367	339.420018310717
ENSG00000004866.14	208.537633036248	189.425078787428	144.485689746161	232.979528768881	189.962597474265	187.454952169819	151.405412061864	255.920524988272
ENSG00000004897.7	3260.85968639227	3874.87155985888	4398.89651316223	4167.63793405159	3262.94870468227	3940.21165316951	4801.27900665977	3902.78800607115
ENSG00000004939.9	0	0	0	0.962725325491243	1.04951711311749	0	0	0
ENSG00000004961.10	662.992286162411	784.200196638107	801.598689687605	856.825539687206	631.809302096727	747.07656547679	865.754436756428	748.242212889439
ENSG00000004975.7	1078.10021607419	850.94063890518	999.524292079607	1121.5750041973	1104.0920029996	897.954941613473	937.900639819464	1135.37622738441
ENSG00000005001.5	0.98366808035966	0	0	0	1.04951711311749	0	0	2.16881800837519
ENSG00000005007.8	4289.77649844848	3883.70485368835	3783.34788972311	4286.05314908701	4085.77012136637	3880.77471711566	3789.19987636704	4056.77408466578
ENSG00000005020.8	662.992286162411	602.626934587982	225.635186726881	660.429573286993	596.125720250732	668.436927005549	278.423375201011	647.392175499993
ENSG00000005022.5	6980.10869823215	7841.02048928891	10420.7829659389	9353.83926247292	7040.1607947921	7848.41880231002	10053.7258183898	8295.72888203508
ENSG00000005059.11	1833.55730179041	2203.41607190557	2420.63011725418	1932.18972826092	1915.36873143941	2313.46843409581	2461.10005378412	2024.59161081824
ENSG00000005073.5	0	0	0	0.962725325491243	0	0.914414400828384	0	1.08440900418759
ENSG00000005075.11	534.131767635295	612.44170550961	696.698120419845	748.037577906696	582.481997780205	557.792784505314	664.557983144019	676.671218613058
ENSG00000005100.8	1813.88394018321	1654.77037738654	1507.20346221509	1716.53925535089	1723.30709973891	1688.0089839292	1629.89450300154	1690.59363752846
ENSG00000005102.8	495.768712501269	539.81240068956	1025.25462039057	397.605559427883	450.242841527402	515.729722067209	987.69168137001	419.666284620598
ENSG00000005156.7	932.517340180958	950.069825213626	867.903766488926	1082.10326585216	936.169264900798	958.306292068147	926.723059063219	889.215383433826
ENSG00000005175.5	1151.87532210116	1247.45738413897	1246.93129506961	1452.75251616629	1094.64634898154	1322.24322359784	1338.26125963406	1340.32952917586
ENSG00000005187.7	188.864271429055	237.517456303407	256.313655097642	214.687747584547	194.160665926735	222.202699401297	238.793770701597	201.700074778892
ENSG00000005189.15	163.288901339704	91.2773695711439	189.018950284361	131.8933695923	201.507285718557	106.072070496093	170.712142459014	139.888761540199
ENSG00000005194.10	754.473417635859	833.274051246249	897.592606847726	914.589059216681	765.097975462648	827.545032749688	924.690771652992	740.651349860126
ENSG00000005206.12	849.889221430746	310.146761123457	280.064727384682	249.345859302232	1049.51711311749	384.96846274875	272.326512970332	328.575928268841
ENSG00000005238.15	348.21850044732	251.258135593686	246.417374978042	246.457683325758	383.073746287883	293.527022665911	237.777626996484	284.115159097149
ENSG00000005243.5	22.6243658482722	29.4443127648851	22.7614442750802	25.0308584627723	20.9903422623497	26.5180176240231	21.3390178073767	28.1946341088774
ENSG00000005249.8	73.7751060269745	93.2403237554695	93.0250331242406	93.3843565726506	58.7729583345792	67.6666656613004	85.356071229507	91.0903563517578
ENSG00000005302.13	1686.99075781682	1639.06674391194	1605.17663539913	1343.96455438578	1760.04019869802	1597.48195824719	1605.50705407882	1283.94026095811
ENSG00000005339.8	4503.23247188652	4351.86942665002	3296.45090783878	3567.86005627055	4225.355897411	4425.76570000938	3247.59528154172	4086.05312777885
ENSG00000005379.11	475.111682813716	126.610544889006	100.942057219921	88.5707299451944	819.672865344757	167.337835351594	103.646657921544	111.694127431322
ENSG00000005381.6	12.7876850446756	11.777725105954	19.7925602392001	39.471738345141	15.7427566967623	9.14414400828384	21.3390178073767	40.1231331549409
ENSG00000005421.4	1.96733616071932	0	0	0.962725325491243	0	0	0	0
ENSG00000005436.9	666.926958483849	683.108056145335	650.185603857724	556.455238133938	658.047229924664	636.432422976555	666.590270554245	602.931406328301
ENSG00000005448.12	394.450900224224	403.387084878926	763.992825233125	596.889701804571	416.658293907642	453.549542810879	712.316737284338	692.937353675872
ENSG00000005469.7	341.332823884802	307.202329846968	266.209935217242	247.420408651249	356.835818459945	275.238734649344	233.713052176031	252.667297975709
ENSG00000005471.11	1.96733616071932	0.981477092162837	0	2.88817597647373	3.14855133935246	0	2.03228741022636	3.25322701256278
ENSG00000005483.15	4906.53638483398	4529.51678033149	4009.97270446195	4199.4078697928	4821.48161766173	4569.32876093944	4115.38200570837	5033.82659743881
ENSG00000005486.12	926.6153316988	837.1999596149	844.152694201886	882.81912347547	921.476025317153	876.92341039442	849.496137474617	902.228291484077
ENSG00000005513.9	72.7914379466148	74.5922590043756	37.6058644544802	27.919034439246	60.8719925608142	70.4099088637856	47.7587541403194	37.9543151465657
ENSG00000005700.10	2138.4944067019	2064.04632481845	1944.61904350141	1831.10356908434	2068.59822995457	2125.09906752516	1923.56003377925	1958.44266156279
ENSG00000005801.12	1016.12912701153	820.514849048132	621.486391510884	666.20592523994	901.535200167921	741.59007907182	673.703276490037	666.911537575369
ENSG00000005810.13	8937.60817814787	8310.16653934274	5756.66614557136	6153.74028054003	8258.6501631215	8053.24762809558	5294.10870363966	6977.08753294297
ENSG00000005812.6	2469.00688170275	3105.39351960322	3036.1787406933	2966.15672783852	2469.51376716545	3297.37832938715	3226.25626373434	3157.79902019427
ENSG00000005844.13	17910.6284071887	17623.4026668759	15908.2702922571	17269.3668886619	18404.3320956282	17500.0628030536	14826.5528013064	17944.8002012963
ENSG00000005882.7	500.687052903067	480.92377515979	407.726740927523	422.636417890656	503.768214296393	496.527019649813	398.328332404366	424.003920637349
ENSG00000005884.13	328.545138840126	190.40655587959	284.023239432522	314.811181435636	318.003685274598	223.117113802126	261.148932214087	284.115159097149
ENSG00000005889.11	1503.04482678956	2564.59964182149	1031.19238846233	1245.76657118567	1552.23581030076	2574.99095273273	1108.61278227848	1268.75853489948
ENSG00000005893.11	2962.8082580433	3539.20639433919	3556.72307498426	2839.07698487368	2801.16117491057	3443.68463351969	3484.35676483309	2925.73549329813
ENSG00000005955.8	2556.55334085476	2156.30517148175	2311.77103593858	2109.33118815131	2565.01982445914	2097.66663550031	2230.43543272343	2079.8964700318
ENSG00000005961.13	22.6243658482722	4.90738546081419	10.8859081315601	26.9563091137548	22.0398593754672	0.914414400828384	4.06457482045271	18.4349530711891
ENSG00000006007.7	1081.05122031527	1271.01283435087	1319.17413994269	1460.45431877022	1110.3891056783	1292.06754837051	1409.39131899198	1557.21133001338
ENSG00000006015.13	441.666968081487	320.943009137248	279.075099372722	293.631224274829	492.223526052101	345.648643513129	261.148932214087	347.01088134003
ENSG00000006016.6	0	0.981477092162837	0.989628011960007	0	2.09903422623497	0	0	2.16881800837519
ENSG00000006025.7	422.977274554654	211.999051907173	207.821882511601	165.588755984494	557.293587065385	233.175672211238	156.486130587429	194.109211749579
ENSG00000006042.7	0.98366808035966	0	0	0	1.04951711311749	1.82882880165677	3.04843111533954	0
ENSG00000006047.8	7.86934464287728	3.92590836865135	13.8547921674401	10.5899785804037	9.44565401805738	2.74324320248515	7.11300593579225	7.59086302931315
ENSG00000006062.9	1626.00333683452	1256.29067796843	963.897683649046	1393.06354598583	1785.22860941284	1288.40989076719	1022.24056734386	1401.05643341037
ENSG00000006074.4	0.98366808035966	2.94443127648851	0.989628011960007	0	0	0	0	3.25322701256278
ENSG00000006075.11	2426.70915424728	1642.01117518843	531.430242422524	1381.51084207993	2262.7588958813	1476.77925733784	466.409960646949	1486.72474474119
ENSG00000006114.11	4851.45097233384	4812.18218287439	3918.92692736163	3336.80597815265	4519.2206890839	4766.84227151837	3701.81151772731	3701.08793129225
ENSG00000006116.3	0.98366808035966	0	0	0	0	0	0	1.08440900418759
ENSG00000006118.10	1.96733616071932	0.981477092162837	1.97925602392001	2.88817597647373	3.14855133935246	3.65765760331354	3.04843111533954	5.42204502093796
ENSG00000006125.12	7701.13740113578	8930.46006158966	9828.98541478678	9022.66175050393	7684.56430224624	8648.53140303486	9762.09257502231	8949.6275115602
ENSG00000006128.7	0	0	0	0	0	0	0	2.16881800837519
ENSG00000006194.6	986.619084600739	847.996207628691	831.287530046406	729.745796722362	1068.4084211536	844.004491964599	734.671898796828	753.664257910377
ENSG00000006282.15	487.899367858391	331.739257151039	293.919519552122	359.096546408234	600.323788703202	329.189184298218	260.132788508974	344.842063331654
ENSG00000006283.13	2.95100424107898	0.981477092162837	0	0	1.04951711311749	1.82882880165677	0	1.08440900418759
ENSG00000006327.9	28.5263743304301	22.5739731197453	32.6577243946802	51.0244422510359	31.4855133935246	27.4324320248515	32.5165985636217	67.2333582596307
ENSG00000006432.11	413.140593751057	513.312519201164	525.492474350763	466.921782863253	383.073746287883	491.954947645671	561.927468927588	516.178685993294
ENSG00000006451.3	1560.09757545042	1867.75090638588	2070.30180102033	1845.54444896671	1405.30341446431	1903.8107825247	2136.95021185301	1938.92329948742
ENSG00000006453.9	111.154493080642	67.7219193592358	48.4917725860403	44.2853649725972	91.3079888412213	67.6666656613004	54.8717600761116	67.2333582596307
ENSG00000006459.6	2720.82591027482	2455.65568459142	2447.3500735771	2187.3119395161	2510.44493457703	2491.77924225735	2480.40678418127	3080.80598089695
ENSG00000006468.9	13.7713531250352	0	7.91702409568005	15.4036052078599	14.6932395836448	2.74324320248515	8.12914964090543	21.6881800837519
ENSG00000006530.11	1347.62527009273	1365.23463519851	1562.62263088485	1457.56614279374	1308.74784005751	1354.24772762684	1446.98863608117	1318.64134909211
ENSG00000006534.11	0.98366808035966	0.981477092162837	0	0	3.14855133935246	4.57207200414192	2.03228741022636	0
ENSG00000006555.6	332.479811161565	247.332227225035	312.722451779362	305.183928180724	329.548373518891	252.378374628634	337.359710097575	333.997973289779
ENSG00000006576.12	2999.2039770166	2464.48897842088	2244.4763311253	2523.30307811255	2990.07425527172	2618.88284397249	2455.00319155344	2772.83382370767
ENSG00000006607.9	1085.96956071706	1023.68060712584	811.494969807205	848.161011757785	920.426508204036	960.135120869803	823.076401141675	815.47557114907
ENSG00000006625.13	1087.93689687778	1215.06864009759	1356.78000439717	1273.68560562491	1019.08111683708	1202.45493708933	1311.84152330111	1221.04453871523
ENSG00000006634.3	1349.59260625345	1368.179066475	1563.61225889681	1444.08798823686	1219.53888544252	1399.96844766826	1682.73397566742	1357.68007324287
ENSG00000006638.7	22.6243658482722	37.2961295021878	15.8340481913601	8.66452792942119	13.6437224705273	39.3198192356205	14.2260118715845	11.9284990460635
ENSG00000006652.9	861.693238395062	720.404185647522	507.679170135483	496.766267953481	809.177694213582	711.414403844483	479.61982881342	512.925458980731
ENSG00000006659.8	19.6733616071932	22.5739731197453	79.1702409568005	43.3226396471059	14.6932395836448	17.3738736157393	79.2592089988279	26.0258161005022
ENSG00000006695.6	690.534992412481	726.2930482005	910.457771003206	782.695689624381	709.473568467421	775.42341190247	948.062076870596	715.709942763811
ENSG00000006704.6	34.4283828125881	14.7221563824426	39.5851204784003	24.0681331372811	32.5350305066421	14.6306304132541	47.7587541403194	28.1946341088774
ENSG00000006712.10	1234.50344085137	1367.19758938283	1393.39624083969	1627.96852540569	1239.47971059175	1431.05853729642	1393.13301971017	1531.18551391288
ENSG00000006715.11	1540.42421384323	1514.41915320726	1421.10582517457	1450.8270655153	1487.16574928748	1402.71169087074	1374.84243301813	1291.53112398742
ENSG00000006740.12	1.96733616071932	2.94443127648851	1.97925602392001	1.92545065098249	4.19806845246995	3.65765760331354	1.01614370511318	4.33763601675037
ENSG00000006744.14	2145.38008326442	2294.69344147671	2574.02245910798	2587.80567492046	2143.11394498591	2297.0089748809	2594.21487915394	2201.35027850081
ENSG00000006747.10	124.925846205677	19.6295418432567	4.94814005980003	22.1426824862986	104.951711311749	10.0585584091122	5.08071852556589	26.0258161005022
ENSG00000006756.11	94.4321357145274	211.01757481501	71.2532168611205	127.079742964844	90.2584717281038	192.941438574789	61.9847660119039	144.22639755695
ENSG00000006757.7	120.007505803879	225.739731197453	160.319737937521	128.042468290335	100.753642859279	202.999996983901	151.405412061864	129.044671498324
ENSG00000006831.9	2904.77184130208	2971.91263506907	3316.24346807798	3690.12617260793	2559.77223889355	3137.35580924219	3363.43566392462	3765.06806253932
ENSG00000006837.7	4.9183404017983	10.7962480137912	8.90665210764006	11.5527039058949	13.6437224705273	11.887387210769	6.09686223067907	11.9284990460635
ENSG00000007001.8	0	0.981477092162837	0.989628011960007	0	0	0	0	1.08440900418759
ENSG00000007038.6	97.3831399556063	85.3885070181668	150.423457817921	199.284142376687	107.050745537984	93.2702688844952	137.179400190279	185.433939716078
ENSG00000007047.10	414.124261831417	441.664691473277	370.120876473042	422.636417890656	397.766985871527	459.036029215849	445.070942839572	505.334595951418
ENSG00000007062.7	0.98366808035966	0	0	0	1.04951711311749	0.914414400828384	0	1.08440900418759
ENSG00000007080.6	993.504761163257	987.365954715814	952.022147505526	1033.0042742521	985.49656921732	1063.46394816341	942.98135834503	988.981011819085
ENSG00000007129.13	303.953436831135	166.851105667682	484.917725860403	263.786739184601	328.498856405773	140.819817727571	471.490679172515	344.842063331654
ENSG00000007168.8	5340.33400827259	5632.69703192252	5198.51594682591	4924.34003988771	5345.19065710736	5821.16207567349	5130.50956711644	5006.71637233412
ENSG00000007171.12	6.88567656251762	4.90738546081419	3.95851204784003	0	7.3466197918224	2.74324320248515	0	5.42204502093796
