Sample_name	aae	aau	aca	aga	age	ahy	aja	aly	ama	ame	amg	api	aqc	aqu	asu	ata	ath	atr	bbe	bcy	bdi	bfl	bfv	bgy	bhv1	bhv5	bkv	blv	bma	bmo	bna	bol	bpcv2	bra	bta	cbn	cbr	cca	ccr	cel	cfa	cgr	chi	cin	cla	cme	cpa	cqu	cre	crm	csa	csi	cte	dan	ddi	der	dev	dgr	dme	dmo	dpe	dpr	dps	dpu	dre	dse	dsi	dvi	dwi	dya	ebv	eca	efu	egr	emu	esi	far	fru	gga	ggo	ghr	gma	gra	gsa	gso	han	har	hbr	hbv	hci	hcmv	hco	hex	hhi	hhv6b	hiv1	hma	hme	hpa	hru	hsa	hsv1	hsv2	hvsa	hvt	hvu	iltv	ipu	isc	jcv	kshv	lca	lco	lgi	lja	lla	lmi	lus	lva	mcmv	mcv	mdm	mdo	mdv1	mdv2	mes	meu	mghv	mja	mml	mmu	mne	mse	mtr	ngi	nlo	nta	nve	nvi	oan	oar	ocu	odi	oha	ola	osa	pab	pbi	pde	peu	pgi	pin	pma	pmi	pol	ppa	ppc	ppe	ppt	ppy	pra	prd	prv	psj	pta	ptc	pti	ptr	pvu	pxy	rco	rgl	rlcv	rmi	rno	rrv	sbi	sci	sha	sja	sko	sla	sly	sma	sme	smo	smr	sof	spu	ssa	ssc	ssl	ssp	ssy	str	stu	sv40	tae	tca	tcc	tch	tgu	tni	tur	vun	vvi	xbo	xla	xtr	zma
WTCHG_189135_274_1.trimmed.bowtie_against_all_mature.sam	103	6	15	1	0	1	0	59	0	76	0	7	0	4	29	24	18	12	7	0	105	15	135	0	6	2	0	0	11	95	3	0	0	9	129	19	14	8	2	98	33	11	8	29	0	0	13	8	22	37	0	3	5	0	0	2	29	0	45	0	1	0	28	1	46	0	16	10	0	1	14	99	134	2	0	19	4	0	174	14	13	88	40	16	0	0	0	3	5	0	7	28	0	8	9	11	1	6	0	0	790	9	3	0	3	11	0	29	1	0	12	0	2	9	1	0	8	1	2	28	0	5	98	4	20	1	0	1	1	87	546	0	58	98	0	0	4	645	0	46	16	0	5	17	3	186	3	0	4	9	1	0	66	2	0	0	106	46	28	111	0	47	7	1	4	37	3	52	0	46	0	3	149	5	64	18	14	0	0	14	19	0	9	7	22	2	0	0	5	27	21	0	0	0	20	23	0	11	50	1	1	75	1	9	0	6	0	0	7	6
WTCHG_189135_275_1.trimmed.bowtie_against_all_mature.sam	102	1	19	0	0	3	1	73	0	69	0	16	1	7	28	28	23	18	15	1	133	28	130	0	11	2	0	3	18	177	5	1	0	20	284	21	28	9	4	98	53	30	22	36	0	1	27	14	60	52	1	1	14	0	3	3	18	0	76	1	0	0	33	2	43	0	10	8	0	0	12	158	142	0	0	23	5	1	244	22	17	100	52	23	1	0	0	3	10	0	10	33	0	5	7	12	1	8	0	0	1239	14	1	0	3	16	4	27	1	0	15	0	0	16	2	0	6	0	4	36	0	4	124	4	65	4	0	3	0	106	570	2	68	208	0	0	5	509	1	101	35	0	9	21	7	252	1	0	4	5	0	0	89	2	0	1	137	49	16	155	1	52	2	1	1	56	8	33	2	54	2	4	209	16	140	17	15	0	0	18	36	0	8	11	42	2	0	0	10	29	37	0	2	0	10	33	0	23	76	0	4	96	0	12	0	14	0	1	7	13
WTCHG_189135_276_1.trimmed.bowtie_against_all_mature.sam	75	0	12	0	1	2	1	99	0	32	0	8	0	4	15	15	8	13	8	0	53	25	155	0	12	0	0	4	12	78	1	0	0	13	178	12	11	4	2	115	42	17	14	20	0	3	6	3	22	17	0	5	9	1	4	0	19	0	94	2	0	0	43	2	11	0	2	6	0	0	9	135	109	0	0	46	5	0	176	13	10	128	41	4	0	0	0	2	3	0	6	25	0	0	6	7	1	5	0	0	1182	4	6	0	1	10	2	21	1	0	15	0	0	7	4	0	12	0	0	30	0	4	95	2	14	2	0	1	0	50	605	1	13	58	0	0	4	286	0	56	16	0	6	9	2	194	3	0	3	2	3	0	46	0	1	0	80	23	18	136	0	46	2	0	0	20	1	25	1	46	0	5	19	6	50	11	9	0	0	11	12	0	3	5	12	0	0	0	5	19	12	0	0	0	19	30	0	13	85	0	0	2577	0	3	0	7	0	0	2	6
WTCHG_189135_277_1.trimmed.bowtie_against_all_mature.sam	44	0	28	0	2	0	0	72	1	16	0	4	3	6	18	14	9	11	6	0	50	13	50	1	5	3	0	0	12	58	1	0	0	8	203	10	8	6	2	69	27	13	7	16	0	0	6	2	15	8	0	5	6	0	0	0	13	0	146	0	0	0	22	2	13	0	4	10	0	1	10	121	123	2	0	42	3	1	172	12	9	69	24	8	0	1	0	2	4	0	2	17	0	3	2	2	0	0	0	0	774	7	6	0	6	11	8	18	1	1	19	0	0	6	3	0	8	0	0	19	0	5	88	2	2	0	0	1	1	38	488	1	12	171	0	0	2	360	2	60	9	0	4	13	2	111	2	0	0	2	2	0	24	1	0	0	47	26	19	86	0	39	2	0	1	29	0	22	2	51	0	2	32	4	47	15	12	0	0	8	12	0	1	4	20	3	0	0	2	24	6	1	2	0	5	19	2	6	40	0	1	1930	0	4	0	8	2	0	3	3
WTCHG_189135_278_1.trimmed.bowtie_against_all_mature.sam	74	0	57	0	0	0	2	70	0	26	1	7	2	7	37	14	13	8	15	0	72	23	73	0	14	4	0	1	11	103	0	1	0	11	406	12	32	4	0	59	39	24	22	23	0	0	17	3	14	10	0	1	8	2	4	3	5	0	152	0	0	0	27	5	17	0	3	9	0	0	2	183	135	0	0	41	1	1	199	16	14	81	28	21	0	0	0	2	7	0	2	25	0	2	4	2	1	5	0	0	984	4	3	0	5	16	3	9	1	0	16	0	0	0	4	0	6	0	0	29	0	6	118	1	7	2	0	2	0	68	777	0	6	67	0	0	5	241	0	80	17	0	1	10	3	144	2	0	4	0	1	0	34	0	0	0	70	32	17	94	0	38	1	1	3	35	5	36	1	35	0	1	11	1	122	11	10	1	2	9	6	1	7	4	13	3	0	0	2	31	22	0	0	0	4	29	0	10	59	0	1	3397	2	4	0	3	0	0	3	9
WTCHG_189135_279_1.trimmed.bowtie_against_all_mature.sam	186	3	45	1	0	1	0	128	0	62	0	10	7	21	31	17	24	19	10	1	165	28	46	1	19	6	0	2	31	140	1	1	1	20	241	46	18	20	7	136	84	20	33	31	0	4	9	5	35	19	0	3	17	2	6	0	43	1	315	2	3	0	77	3	63	1	15	16	1	0	18	204	246	0	0	32	1	0	391	16	19	153	74	19	0	0	0	4	15	0	6	33	0	10	5	27	3	12	0	0	1451	13	7	0	5	14	5	38	3	0	23	0	0	24	4	0	19	1	2	33	0	22	182	1	39	3	0	3	2	86	936	2	99	178	0	0	11	362	0	94	25	0	8	18	7	306	3	0	4	8	1	0	173	5	1	0	109	45	28	186	0	58	5	1	2	60	0	36	0	103	0	4	132	8	161	29	18	0	0	24	69	0	13	10	61	2	0	0	5	42	45	0	1	0	11	66	1	26	95	1	3	3448	1	29	0	24	1	0	8	17
WTCHG_189135_280_1.trimmed.bowtie_against_all_mature.sam	60	0	13	1	0	1	0	58	0	23	0	6	2	3	23	12	7	6	5	0	84	17	138	0	8	0	0	0	4	111	2	0	0	8	283	10	33	1	2	44	32	9	10	19	0	0	23	2	21	16	0	1	8	0	0	0	9	0	77	0	0	0	13	2	38	0	8	10	0	0	8	132	98	0	0	39	0	1	109	11	10	93	20	19	0	0	0	0	6	0	2	16	0	0	11	5	1	3	0	0	1121	7	9	1	2	12	1	5	1	0	11	0	0	5	1	0	8	0	0	15	0	1	105	1	26	1	0	0	2	40	550	0	24	38	0	0	4	883	0	64	11	0	4	10	2	129	1	0	0	1	0	0	20	3	1	0	60	19	25	112	0	33	2	0	1	20	0	32	1	31	0	1	43	3	85	9	18	0	0	12	6	0	3	4	16	2	0	0	4	37	20	0	0	0	3	27	0	6	46	1	1	2644	0	5	0	5	0	0	3	9
WTCHG_189135_281_1.trimmed.bowtie_against_all_mature.sam	255	4	40	3	2	11	2	226	1	86	0	14	2	42	41	43	39	36	34	1	327	53	83	0	17	2	0	3	41	279	10	1	0	22	389	64	38	42	7	248	114	32	59	76	0	6	37	13	141	17	0	5	63	5	3	0	89	1	206	1	2	0	66	3	140	1	39	40	0	0	60	355	400	2	0	34	4	5	524	31	23	267	141	44	1	0	0	9	38	1	40	61	0	6	12	52	6	16	0	0	2666	18	13	0	12	36	6	18	5	0	27	0	0	59	9	0	14	3	3	39	0	25	396	13	66	11	0	2	6	185	1403	0	24	180	1	0	10	1353	1	166	55	1	13	40	11	407	7	0	3	17	1	0	254	1	0	1	191	92	54	439	1	121	7	0	1	100	5	94	3	176	0	6	478	10	246	38	55	0	5	67	104	1	14	19	82	15	0	0	11	94	76	0	2	0	32	88	7	25	194	1	6	6762	4	36	0	69	1	0	6	37
WTCHG_189135_282_1.trimmed.bowtie_against_all_mature.sam	190	2	63	2	2	16	1	211	0	89	1	30	4	31	74	67	38	32	17	2	259	41	600	2	20	6	0	1	38	297	3	0	0	30	519	39	94	22	6	212	98	32	30	61	0	3	48	10	165	28	1	15	17	1	8	0	28	0	169	0	1	0	67	2	81	2	15	58	0	0	17	415	442	0	0	76	2	1	531	41	51	365	137	48	0	0	0	4	19	0	9	71	0	6	11	25	3	30	0	1	3488	28	17	0	4	42	8	35	4	0	22	0	0	17	9	0	24	0	5	82	0	18	311	4	55	6	0	3	5	165	1650	1	33	198	0	0	9	1814	3	169	48	0	11	32	8	515	8	0	6	8	3	0	332	2	0	2	243	85	79	358	0	121	1	2	2	71	14	98	3	145	1	4	81	9	223	30	46	1	1	23	59	0	8	13	61	12	0	0	24	112	58	0	1	0	29	81	0	15	142	0	2	9576	0	19	0	22	2	0	7	30
WTCHG_189135_283_1.trimmed.bowtie_against_all_mature.sam	143	2	51	7	0	5	1	188	0	81	2	12	3	22	50	34	37	27	26	2	257	29	149	0	13	10	1	0	45	220	4	0	0	17	379	37	27	43	7	186	95	28	41	38	0	2	26	5	74	28	0	5	30	2	3	1	75	2	172	1	0	0	88	1	130	1	24	29	2	1	35	412	221	0	1	22	2	3	419	27	15	215	99	23	0	0	0	3	49	1	20	69	1	4	8	32	5	20	0	0	1976	50	14	0	7	25	10	18	3	0	38	0	0	46	8	0	7	2	4	16	0	6	322	12	66	2	1	3	2	186	1264	0	165	282	1	0	14	965	1	128	42	2	16	33	7	381	7	0	4	17	3	0	193	1	1	1	172	57	60	248	0	92	8	0	3	70	8	74	3	104	0	6	220	4	212	34	39	2	2	38	92	1	9	15	55	17	0	0	15	103	65	0	0	0	23	72	4	22	97	2	7	3502	2	19	0	41	2	0	9	25
