mirna	HC1-nonTh17	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17	AS2-nonTh17	AS3-nonTh17	AS4-nonTh17	AS4-Th17	targets
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-let-7a-3p	0	0	5	3	2	4	0	0	2	0	5	1	5	0	
hsa-let-7a-5p	80	139	750	795	426	290	476	195	906	381	263	474	1132	814	CDK6,MYC,MYC,NKIRAS2,ITGB3,NF2,NRAS,NRAS,KRAS,KRAS,KRAS,PRDM1,PRDM1,TRIM71,TRIM71,FOXA1,NR1I2,VDR,RAVER2,HMGA2,HMGA2,HMGA2,HMGA2,HMGA2,HMGA2,HMGA2,HMGA1,HMGA1,EIF2C4,APP,E2F1,UHRF2,DICER1,HRAS,HRAS,HRAS,IGF2,LIN28A,CASP3,CASP8,CASP9,IL6,E2F2,CCND2,IGF2BP1,CDC34,EWSR1,MPL,CCR7,TMED7,CDKN1A,HAS2,EGFR,RRM2,AGO1,EZH2,PAK1,AURKB,RAB40C,TNFRSF10B,
hsa-let-7b-3p	4	3	38	24	27	18	29	13	46	4	7	13	48	20	
hsa-let-7b-5p	311	295	1437	3367	2961	1031	2670	1738	10109	9712	3541	2197	7142	8643	CDC34,CDC34,RDH10,IGF2BP1,IGF2BP1,HMGA1,MTPN,RPIA,ACTG1,HMGA2,HMGA2,HMGA2,CDC25A,CDK6,CCND1,CCND1,CCND1,LIN28B,CCND2,CCND2,NRAS,CCNA2,LIN28A,IFNB1,NR2E1,PDGFRA,IGF2BP2,PRDM1,HRAS,CYP2J2,CCNA1,AGO1,IRS2,IGF1R,COL3A1,CPEB1,CPEB3,ACVR1,LRIG1,CPEB4,TGFBR1,CTHRC1,AKT2,TLR4,TNFRSF10B,
hsa-let-7c-3p	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
hsa-let-7c-5p	22	10	98	208	245	51	251	57	395	153	123	117	358	289	TGFBR1,TRIM71,HMGA2,HMGA2,HMGA2,HMGA2,MYC,DICER1,BCL2L1,BCL2L1,NRAS,MPL,COPS8,GPS1,COPS6,AGO1,IGF1R,ITGB3,MAP4K3,IL10,MTOR,RICTOR,CEBPB,IL6,PBX2,TNFRSF10B,TRIB2,
hsa-let-7d-3p	51	91	956	1677	1195	787	483	163	1129	798	414	1104	1027	799	
hsa-let-7d-5p	420	682	3764	3795	2798	2659	2025	890	4277	2457	1411	3313	4855	2952	HMGA2,HMGA2,HMGA2,HMGA2,APP,DICER1,SLC11A2,IL13,MPL,EIF2C1,TNFRSF10B,
hsa-let-7e-3p	0	0	0	0	1	0	0	0	1	0	1	0	1	1	COPS8,GPS1,COPS6,
hsa-let-7e-5p	23	18	78	142	80	87	45	52	286	432	156	370	130	179	HMGA2,EIF3J,SMC1A,WNT1,CCND1,CCND1,MPL,MYCN,MYCN,AGO1,IGF1R,MMP9,IGF1,LIN28A,AURKB,EZH2,TNFRSF10B,
hsa-let-7f-1-3p	1	2	6	7	6	11	4	6	15	3	3	6	4	1	
hsa-let-7f-2-3p	2	0	19	3	2	2	3	1	8	2	3	2	10	11	
hsa-let-7f-5p	14	23	181	169	125	107	64	35	201	115	34	89	148	104	KLK10,KLK10,KLK6,PRDM1,IL13,MPL,CYP19A1,COPS8,GPS1,CCND1,COPS6,MYH9,SOCS3,ELF4,DYRK2,CCL7,EIF2C1,
hsa-let-7g-3p	0	0	4	1	0	1	1	0	3	4	1	1	9	0	
hsa-let-7g-5p	8319	5565	60384	46146	52530	16100	95871	26835	215203	56033	34356	17868	194133	63403	KRAS,COL1A2,MYC,HMGA2,HMGA2,HMGA2,HMGA2,IGF2BP1,CDKN2A,BCL2L1,GAB2,FN1,IL13,BMI1,AGO1,CASP3,THBS1,TGFBR1,SMAD2,AKT2,TNFRSF10B,
hsa-let-7i-3p	0	2	60	24	12	19	4	2	38	22	15	14	40	29	
hsa-let-7i-5p	4490	5965	33797	36250	21904	20773	20200	11148	65326	29751	13115	19402	43548	25728	TLR4,SOCS1,IL13,COPS8,COPS6,GPS1,BMP4,IGF1,EIF2C1,NEUROG1,ASCL1,
