	AS035_CD4_200_SV	OBB4633_CD14_400_SV	OBB4633_CD4_200	OBB4633_CD4_200_SV	OBB3073_CD14_150ng	OBB3073_CD14_200ng	OBB3073_CD14_250ng	OBB3073_CD14_300ng	OBB3073_CD4_150ng	OBB3073_CD4_200ng	OBB3073_CD4_250ng	OBB3073_CD4_300ng	OBB2657_CD4_150ng	OBB2657_CD4_200ng	OBB2657_CD4_250ng	OBB2657_CD4_300ng
AS035_CD4_200_SV	1	0.7370082	0.9183299	0.9067965	0.7330387	0.7319786	0.727803	0.7302968	0.9361554	0.9402024	0.9558021	0.9501257	0.9748646	0.9782465	0.9789436	0.9841235
OBB4633_CD14_400_SV		1	0.5283333	0.4947852	0.9983989	0.9979506	0.9988345	0.9987879	0.6696859	0.689114	0.7116476	0.7013013	0.7065325	0.7374046	0.7207626	0.7502837
OBB4633_CD4_200			1	0.9956744	0.5334565	0.5339554	0.5246684	0.5286857	0.9755156	0.9738318	0.9668049	0.9680465	0.9669059	0.9563873	0.9633566	0.949003
OBB4633_CD4_200_SV				1	0.499222	0.4995455	0.4907746	0.4946048	0.959348	0.9581861	0.9495131	0.950418	0.9596424	0.9468191	0.9536779	0.938924
OBB3073_CD14_150ng					1	0.9998939	0.9996261	0.9998081	0.6773789	0.6965542	0.7175615	0.7077457	0.7092418	0.7399373	0.7229892	0.7517857
OBB3073_CD14_200ng						1	0.9996342	0.9998105	0.6784754	0.6975667	0.7183862	0.708694	0.7093706	0.7401043	0.7230932	0.751808
OBB3073_CD14_250ng							1	0.9999593	0.6686853	0.6882425	0.7097315	0.6997355	0.7024867	0.7336348	0.7164606	0.745895
OBB3073_CD14_300ng								1	0.6726929	0.6920526	0.7133909	0.703493	0.7056227	0.7366013	0.7195165	0.7486982
OBB3073_CD4_150ng									1	0.9982164	0.9968568	0.9974729	0.9840634	0.9810102	0.9831458	0.9743027
OBB3073_CD4_200ng										1	0.9976441	0.9976285	0.9861466	0.9848378	0.98549	0.979535
OBB3073_CD4_250ng											1	0.9996141	0.9905969	0.9907252	0.9904223	0.9866566
OBB3073_CD4_300ng												1	0.9882177	0.9879572	0.9871347	0.9829857
OBB2657_CD4_150ng													1	0.9986384	0.998451	0.9962375
OBB2657_CD4_200ng														1	0.9980502	0.9989472
OBB2657_CD4_250ng															1	0.9972042
OBB2657_CD4_300ng																1
